stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,6.57,0,0,0,0,0,0,0,0,0.82,0.82,0.82,0,0,0,7.39,0,3.28,11.49,0,0,0,0,3.28,0,0,0,0,0
 36-46,0,0,0,0,0,23.36,0,0,0,1.61,0,0,0,0,0.81,0,0,0,0.81,0.81,8.06,0,4.83,5.64,0,0,0,0,5.64,0,0,0,0,0
 48-58,0,0,0,0,0,212.88,0,0,0,1.72,0,0,0,0,4.02,0,1.72,0,1.15,1.15,17.79,0.57,1.72,12.05,0,0,0,0,4.59,0,0,0,0,0
 60-70,0,0,0,0,0,736.14,0,0,0,1.96,0,0,0,0,9.82,0,1.96,0.98,0.98,1.96,39.26,0,4.91,24.54,0,0,1.96,0,8.83,0,0,0,0,0
 72-82,0,0,0,9.82,4.91,1082.77,0,0,1.96,6.87,0.98,1.96,0,0,15.71,0,12.76,0,0.98,1.96,65.77,0,8.83,61.84,0,0.98,2.94,0,7.85,0,0.98,2.94,0.98,0
 84-94,0,0,1.06,7.43,1.06,959.02,0,2.12,0,9.56,2.12,0,0,0,29.74,1.06,15.93,0,1.06,2.12,35.05,1.06,0,82.84,0,0,3.19,1.06,4.25,0,1.06,1.06,0,1.06
 96-106,0,0,0,3.28,4.37,730.02,2.19,1.09,2.19,12.02,1.09,1.09,0,1.09,42.62,1.09,8.74,0,1.09,1.09,49.18,0,8.74,101.63,0,0,9.84,0,3.28,0,3.28,2.19,0,1.09
108-118,0.77,0,0.77,6.89,0.77,518.56,0.77,0,0.77,10.72,0,0.77,0,0,37.53,0.77,12.26,0.77,0.77,0,58.98,0,6.13,73.53,0,0,6.89,0.77,0.77,0.77,0,2.3,0,0.77
120,0,0,0,13.72,0,525.22,0,0,0,7.84,0,3.92,1.96,0,19.6,0,5.88,0,0,1.96,31.36,0,3.92,88.19,0,0,1.96,1.96,3.92,0,0,0,1.96,0
