stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,1344.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,98.07,1287.22,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,98.07,12.26,0,0,6.13,0,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,49.95,44.69,0,81.49,0,0,176.12,0,0,0,0,0,39.43,0,0,0,0,0,0,0,0,0,0,0,1259.15,28.92,0,0,583.57,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,31.47,0,91.26,0,9.44,110.14,0,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,1211.58,22.03,0,0,450.02,0,0,6.29,6.29,47.2,0,6.29,0,0,0,0,0
 14-21,0,2,0,9,65,23,50,0,0,0,6,4,0,1,0,3,0,0,0,0,39,0,0,42,632,4,1,5,14,0,4,1,79,5,1,51,174,0,2,0,0
 24-34,0,0,0.82,0,19.7,8.21,142.01,0,0.82,0,13.95,2.46,0,0,3.28,0.82,1.64,0.82,1.64,0.82,95.22,0.82,0,36.94,1055.62,5.75,4.93,5.75,0,0,17.24,0,0,0,0,9.03,235.59,0,10.67,0,0.82
 36-46,0,0,0,0,7.25,2.42,223.17,0,0,0.81,16.11,1.61,0,0,4.03,0,4.03,0.81,2.42,0,78.15,0,0,20.95,610.7,1.61,4.03,3.22,0,0,3.22,0,0.81,1.61,0,0,149.05,0,3.22,0,0.81
 48-58,0,0,0,0,7.46,5.16,259.93,0,0.57,0,14.35,0.57,0,2.87,0.57,0,0.57,0,1.15,0.57,76.32,0,3.44,17.79,248.46,1.15,2.87,1.72,0,0,2.87,0,0,0,0,0,48.77,0,6.31,0,0.57
 60-70,0,0,0,0,9.82,0,159.99,0,0,0,21.59,0,0,0.98,0,0,0.98,0,0,0,50.06,0,1.96,8.83,102.08,1.96,0.98,0,0,0,0.98,0,0,0,0,0,7.85,0,3.93,0,0
 72-82,0,0,0,0,13.74,0.98,78.53,0.98,0,2.94,22.58,2.94,0,1.96,1.96,0,0.98,0,0,0,64.79,0.98,2.94,12.76,104.06,0.98,0.98,0.98,0,0,0.98,0,0,0,0,0,0.98,0.98,4.91,0.98,0
 84-94,0,0,0,0,10.62,5.31,73.28,0,0,0,13.81,3.19,0,0,4.25,0,1.06,0,1.06,0,38.23,0,5.31,13.81,76.47,2.12,1.06,4.25,0,1.06,4.25,0,0,0,0,0,3.19,1.06,5.31,0,0
 96-106,0,0,0,0,9.84,3.28,67.76,0,0,0,16.39,6.56,0,3.28,8.74,0,0,0,3.28,0,39.34,0,4.37,9.84,78.68,1.09,0,5.46,0,1.09,6.56,0,0,1.09,0,0,1.09,0,0,0,0
108-118,0,0,0,0,12.26,6.13,48.26,0,0,0.77,14.55,3.06,0,0,5.36,0,1.53,0,4.6,0,30.64,0,2.3,9.96,91.15,0.77,1.53,0,0,0,4.6,0,0,0.77,0,0,1.53,0,3.83,0,0
120,0,0,0,0,5.88,5.88,41.16,0,1.96,0,13.72,0,0,0,9.8,1.96,0,0,0,0,15.68,1.96,3.92,3.92,84.27,1.96,0,0,0,0,3.92,0,0,0,0,0,0,0,5.88,0,0
