stage,blastomeres,epidermis,eye,glial,mesenchyme,mural_cell,neural,paraxial_mesoderm,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,7.89,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,9.44,3.15,0,0,0,0
 14-21,0,1,0,0,0,0,1,0,1,0,0,0
 24-34,0,0,0,0,0,0,9.85,0,0,1.64,0,0
 36-46,0,0,0,0.81,0,0,25.78,0,0,0.81,0,0
 48-58,0,0,0.57,0.57,0,0,16.64,0,0,0.57,0,0
 60-70,0,0,0,0,4.91,0,9.82,0,0,0,0,0
 72-82,0,0,0,0.98,2.94,0,1.96,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,1.06,0,0,0,1.06,1.06
 96-106,0,0,0,0,0,1.09,2.19,0,0,0,0,0
108-118,0,0,0.77,0,1.53,0.77,0.77,0,0,0,2.3,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0
