stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,heart,immune,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,3.15,0,0,0,0,0,0,0,0
 14-21,0,6,1,0,0,19,1,0,0,0,0,1,1,7,0,1,5,2,0,1,13,0,62
 24-34,0,4.1,0,0,0,22.16,0,0,0,0.82,0,0.82,0,13.95,0,5.75,3.28,0,0,0,17.24,0.82,50.89
 36-46,0,0,0,0.81,0,18.53,0,0,0,0.81,0,0,0.81,13.7,0,8.06,1.61,0,0.81,0,6.45,0,23.36
 48-58,0,0,0,2.3,0,16.07,0,0,0.57,1.15,0.57,0,0,8.61,0,7.46,1.72,0,0,0,2.87,0,26.4
 60-70,0,0,0,0,0.98,12.76,0,0,0,0.98,0,0.98,0,3.93,0.98,8.83,1.96,0,0,0,0.98,0,14.72
 72-82,0,0,0,3.93,0,16.69,0,0,0.98,0.98,0,0,0,6.87,0,16.69,2.94,0,0.98,0,1.96,0,8.83
 84-94,0,0,0,3.19,0,13.81,0,0,0,2.12,0,0,0,3.19,0,18.05,5.31,0,1.06,0,5.31,0,8.5
 96-106,0,0,0,4.37,0,7.65,0,1.09,1.09,2.19,1.09,1.09,0,4.37,0,12.02,8.74,0,1.09,0,2.19,0,7.65
108-118,0,1.53,0,0.77,0,6.89,0,0,0.77,1.53,0,0,0,2.3,0,9.96,3.06,0,0,0,3.06,0,3.06
120,0,1.96,0,3.92,0,5.88,0,0,0,1.96,0,0,0,3.92,0,11.76,1.96,0,0,0,1.96,0,1.96
