stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,26.36,329.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,6.13,429.07,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,12.26,0,0,0,0,0,0,0
  7-9,5.26,15.77,0,15.77,0,0,39.43,0,0,0,10.51,0,0,0,0,336.48,13.14,0,0,113.03,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,15.73,0,6.29,25.18,0,0,0,3.15,0,0,0,0,283.23,12.59,0,0,69.23,0,3.15,0,9.44,0,0,0,0
 14-21,0,0,1,0,3,2,2,0,1,0,0,0,2,0,0,16,2,0,0,0,0,0,2,0,0,4,1,0
 24-34,0,0,0,0,0,0,2.46,0,0,0,0,0.82,2.46,0,2.46,43.51,0,1.64,0.82,0,0.82,0,0,0,0.82,10.67,0,0
 36-46,0,0,0,0,0.81,0,11.28,0,3.22,0,0,0,4.83,0,1.61,62.04,0,0,0,0,0,0,0,0,0,14.5,0,0
 48-58,0,0,0,0,0.57,0.57,21.8,0.57,4.59,0,0,0,3.44,0.57,0,56.81,0,0,0,0,0,0,0,0,0,12.62,0,0
 60-70,0,0,0,0,0.98,0,24.54,0,3.93,0,0,0,7.85,0,0.98,65.76,0.98,0,0,0,0,0,0,0,0,3.93,0,0
 72-82,0,0,0,0,0.98,12.76,10.8,0,2.94,0,0,0,4.91,0,0.98,31.41,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,6.37,11.68,0,1.06,0,0,0,1.06,0,0,14.87,0,0,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,0,20.76,1.09,0,1.09,0,0,0,2.19,1.09,0,12.02,0,1.09,0,0,0,0,0,0,0,1.09,1.09,0
108-118,0,0,0,0,0,3.83,4.6,0,0,0,0,0,1.53,0,0,11.49,0,0,0,0,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,1.96,0,0,1.96,1.96,0,0,0,0,0,11.76,0,0,0,0,0,0,0,0,0,0,0,0
