stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,10,0,0,0,0,0,0,1,0,4,6,3,0,0,0
 24-34,0,0,0,0.82,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,9.85,0.82,0,0,0,0,0,0,0.82,0.82,0.82,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0,1.61,0,0.81,0,0,0,0,3.22,0,0,8.06,0.81,0,0,0,0,0,0,0,1.61,0,6.45,0,0,0
 48-58,0,0,0,0,0,0,0,0.57,0,0.57,0,0,0,2.3,0,0,0,0,0,0,0.57,0,0,6.89,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0
 60-70,0,0,0,0,4.91,0,0,3.93,0,0,0,0,0,1.96,0.98,0.98,0,0,0,0,3.93,0,0,6.87,0,0,0,0,0,5.89,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,16.69,0,0,1.96,0.98,3.93,4.91,3.93,0,1.96,0.98,0.98,0,0,0,0,10.8,0,2.94,10.8,0,0.98,1.96,0,0,0.98,0,0,0.98,0,0,0,0,0
 84-94,0,0,2.12,0,20.18,1.06,0,1.06,0,3.19,0,1.06,0,1.06,0,0,0,0,1.06,7.43,1.06,0,0,5.31,0,0,1.06,0,1.06,4.25,0,0,0,0,0,0,1.06,1.06
 96-106,0,0,0,0,19.67,0,1.09,4.37,1.09,1.09,3.28,1.09,1.09,0,0,0,0,0,0,3.28,8.74,0,1.09,13.11,0,2.19,0,0,0,4.37,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0,28.34,0.77,0.77,2.3,0,4.6,2.3,2.3,1.53,0,0,0,0,0,0,3.06,11.49,0,9.19,8.43,0,0,0.77,0,0,2.3,0,0,2.3,0,0,0,0,0
120,1.96,0,0,0,154.82,5.88,0,0,1.96,23.52,3.92,3.92,1.96,0,0,0,1.96,1.96,0,0,45.08,5.88,23.52,19.6,1.96,1.96,1.96,0,0,25.48,0,0,0,0,0,1.96,0,0
