stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,8,2,0,4,0,0,0,2,0,0,0,0,0,0,0,2,0,1,26,0,0,0,2,2,5,0,2,4,12,0,0,0,0
 24-34,0,0.82,0,4.1,0.82,0,2.46,0,0,0.82,0.82,0,0.82,0.82,0,0,0.82,0,7.39,0,0,41.86,0.82,0,0,0,13.95,0,0,0,0,11.49,0,4.1,0,0
 36-46,0,0,0,1.61,0,0,4.03,0.81,0,0,0,0,0,0,0,0,0,0,4.03,0,0.81,48.34,0.81,0,0,0,4.03,0,0.81,0,0,9.67,0,0,0,0
 48-58,0,0,0,0,0,0,12.05,0,0,0,2.87,0,0,0,0,0,0,0,2.3,0.57,0.57,46.48,0,0.57,0,0,0.57,0,0,0.57,0,8.03,0,1.15,0,0
 60-70,0,0,0,0,0,0,20.61,0,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0,51.04,0,1.96,0,0,0.98,0,0,0.98,0,8.83,0,0,0,0
 72-82,0,0,0,4.91,0.98,0,27.49,0,1.96,0,2.94,0,0,0,0,0.98,0,0,8.83,0.98,0.98,30.43,0,0.98,0,0,1.96,0,0,0,0,1.96,0,0.98,0,0
 84-94,0,1.06,0,2.12,0,0,12.74,0,0,1.06,2.12,0,0,1.06,0,0,0,0,6.37,0,0,30.8,0,1.06,1.06,0,4.25,0,0,0,0,2.12,0,0,0,0
 96-106,0,0,0,1.09,0,0,13.11,0,0,0,3.28,1.09,0,0,0,0,0,0,6.56,0,0,12.02,0,0,0,0,4.37,0,0,0,0,1.09,0,0,1.09,0
108-118,0,0,0,0,0.77,0.77,6.13,0,0,1.53,0,0.77,0,0,0,0,0,0.77,3.83,0,0.77,10.72,0,0,1.53,0,1.53,0,0,0.77,0,0,0.77,0.77,0,0.77
120,0,0,0,0,0,0,7.84,0,0,0,1.96,0,0,0,1.96,0,0,0,1.96,0,0,17.64,0,5.88,0,0,0,0,0,0,0,1.96,0,0,0,0
