stage,endocrine_pancreas,epidermis,eye,fast_muscle,fin_mesenchyme,glial,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,5.75,0,0,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,0.81,18.53,0,0,0,3.22,0,0,0.81
 48-58,0,0,3.44,0,0,1.15,0,0,3.44,0,0,20.08,0,0.57,0,4.59,0.57,0,0
 60-70,0,0,11.78,0,0.98,0.98,0,0,5.89,0,0,9.82,0,0,0,4.91,0.98,0,0
 72-82,0,0,7.85,0,0,2.94,0,0,4.91,0,0.98,10.8,0.98,0,0,2.94,0.98,0,0
 84-94,1.06,0,6.37,0,0,1.06,1.06,0,1.06,0,0,10.62,0,0,0,1.06,1.06,0,0
 96-106,0,0,1.09,0,0,2.19,0,1.09,7.65,1.09,0,9.84,0,0,0,0,0,0,0
108-118,0,0.77,4.6,0.77,0,0.77,0,0,3.06,0.77,0,7.66,0,0,0,0,0,1.53,0
120,0,0,1.96,0,0,0,0,0,3.92,0,0,5.88,0,0,0,0,0,0,0
