stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,hatching_gland,immune,mesenchyme,mural_cell,muscle,neural,notochord,otic,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,15.73,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,2,2,0,0
 24-34,0,1.64,0,0.82,0.82,0,0,0,2.46,0,1.64,8.21,0,0,0,0,0.82,1.64,0
 36-46,0,0,0.81,0,0,0,0,0.81,1.61,0,0,7.25,0,0,0,0,1.61,0,0
 48-58,0,0,0,0,0,0,0,2.87,2.3,0,1.72,2.3,0,0,0,0,1.72,0,0
 60-70,0,0.98,0,0,0.98,0,0,1.96,3.93,0.98,0.98,4.91,0,0,0,0,0,0,0
 72-82,0,0,0,1.96,0.98,0,0,8.83,6.87,0,3.93,3.93,0,0.98,0,0,0,0,1.96
 84-94,0,0,0,3.19,0,0,0,13.81,2.12,0,0,4.25,0,0,0,0,0,0,1.06
 96-106,0,0,0,2.19,0,3.28,0,15.3,2.19,0,0,2.19,1.09,2.19,0,0,0,0,1.09
108-118,0,0.77,0.77,3.06,0.77,0.77,0,7.66,1.53,0,0,3.83,0,2.3,0.77,0,0,0,0
120,0,0,0,3.92,0,0,0,23.52,1.96,0,0,0,0,0,1.96,0,0,0,0
