stage,epidermis,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,neural,olfactory,paraxial_mesoderm,periderm,slow_muscle,xanthophores
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,15.6,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,36.26,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0.57,0.57,0,22.38,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,16.69,0,0.98
 72-82,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,14.72,0,0
 84-94,2.12,0,0,0,0,0,1.06,0,1.06,1.06,0,0,0,0,49.92,0,0
 96-106,4.37,1.09,0,0,0,0,1.09,0,2.19,1.09,1.09,1.09,0,0,39.34,0,0
108-118,6.13,0,1.53,0,0.77,0.77,0.77,0,1.53,0,0,1.53,0,0,31.4,0,0
120,1.96,0,3.92,1.96,0,0,0,0,0,0,0,1.96,0,0,33.32,0,0
