stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,10.51,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.82,6.29,0,0,37.76,0,0,0,9.44,0,0,3.15,0,0
 14-21,0,0,0,2,7,9,0,0,0,119,0,0,0,0,0,0,0,8,5,76,4,5,42,20,0,1,10,108,6,20,362,0,0
 24-34,0,0,0,0,0.82,0,2.46,0,0,105.07,0,0,0,0.82,0,0,0.82,9.85,4.93,61.56,1.64,40.22,3.28,0,0.82,0,0,58.28,2.46,14.78,246.26,0,0
 36-46,0,0,0,0,0,0,2.42,0,0,26.59,0.81,0,0,0.81,0,0,0,0.81,3.22,42.7,0,39.48,1.61,0,0,0,0,15.31,0,0,109.57,0,1.61
 48-58,0,0,0,0,0.57,0,6.31,0.57,0,35,0,0,0,0,0.57,0,0,1.72,1.15,24.1,0,28.69,4.59,0,0.57,0,0,5.16,0,0,91.81,0,0
 60-70,0,0,0,0,0,0,1.96,3.93,0,32.39,0,0,0,0,4.91,0,0,1.96,2.94,27.48,0,40.24,9.82,0,0,0,0,8.83,0,0,50.06,0,0.98
 72-82,0,0,0,0,0,0.98,10.8,3.93,0,66.75,1.96,0,0,0,7.85,0,0,2.94,0.98,24.54,0,65.77,13.74,0,0,0,0,6.87,0,0,41.23,0.98,0
 84-94,0,0,1.06,1.06,1.06,2.12,15.93,0,1.06,36.11,1.06,0,0,0,9.56,0,0,6.37,1.06,19.12,1.06,79.65,28.68,0,0,1.06,0,13.81,0,0,32.92,1.06,0
 96-106,0,0,0,2.19,1.09,0,6.56,3.28,1.09,38.25,1.09,1.09,1.09,0,15.3,0,0,8.74,1.09,15.3,1.09,121.31,34.97,0,0,0,0,10.93,1.09,0,17.49,0,0
108-118,0,0,0,0.77,0.77,0,8.43,2.3,0.77,22.98,0,0,0,0,12.26,0.77,0,6.89,1.53,12.26,3.83,76.6,17.62,0,0,0,0,8.43,0,0,17.62,0,0
120,0,0,0,0,3.92,0,11.76,1.96,0,11.76,0,0,0,0,5.88,0,0,3.92,0,11.76,1.96,29.4,9.8,0,0,0,0,5.88,0,0,7.84,1.96,0
