stage,endocrine_pancreas,epidermis,eye,glial,ionocyte,lateral_line,mesenchyme,muscle,neural,olfactory,periderm,slow_muscle,spinal_cord
 14-21,0,4,0,0,0,0,0,0,5,0,0,0,0
 24-34,0,8.21,0.82,0,0.82,0.82,0,0,5.75,1.64,0,0,0.82
 36-46,0,1.61,0.81,0,0,0,0.81,0,7.25,0.81,0,0,0
 48-58,0,1.15,2.3,0,0,0,0.57,0,4.02,1.72,0,0,2.3
 60-70,0,0,0.98,0,0,0,0,0,2.94,0,0,0,1.96
 72-82,0,0,0.98,0,0,0,0,0,2.94,0.98,0.98,0,0
 84-94,0,1.06,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,1.09,1.09,0,0,0,0,0,2.19,0,0,1.09,0
108-118,0.77,0.77,1.53,0,0.77,0,2.3,0.77,0,0.77,0.77,0,0
120,0,3.92,1.96,1.96,0,0,0,0,0,0,0,0,0
