stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0
 14-21,0,0,1,0,0,2,0,0,0,0,0,0,1,5,2,0,0,1,3,0,2,4,0
 24-34,0,0,0,0,0,1.64,0,0,0,0,0,0.82,2.46,2.46,2.46,0.82,0,0,0,0.82,0.82,5.75,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,4.03,4.83,1.61,0,0,0,0,0,0,2.42,0
 48-58,0,0,0,0,0,2.87,0.57,0,0,0,0,0,3.44,2.3,2.87,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,2.94,1.96,0,0,0,0,0,2.94,1.96,0,0.98,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0,0.98,0.98,0,0,0,0,0,0,0.98,0,0,0.98,0,0,0.98,0,0,0
 84-94,0,0,0,0,0,2.12,1.06,0,1.06,0,0,0,6.37,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,3.28,0,1.09,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0
108-118,0,0.77,0,0,1.53,1.53,0.77,0,0,0,0,0,2.3,0.77,1.53,0,0,0,0,1.53,0,0,0.77
120,0,0,0,0,0,0,0,0,0,0,1.96,0,0,1.96,5.88,0,0,0,0,0,0,0,0
