stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,taste,vasculature
 14-21,0,2,0,1,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0,3,0,0
 24-34,0,2.46,0,0.82,0,0,0.82,0,0,0,0,1.64,0,0.82,20.52,0,0,0,0.82,1.64,0,0
 36-46,0,1.61,0,2.42,0,0,0,0,0,0,0,1.61,0,0,13.7,0,0,0,0.81,0.81,0,0
 48-58,0,0,0,4.02,0,0,0,0,0,0,0,1.15,0,0.57,4.59,0,0,0,0,0,0,0
 60-70,0,0.98,0,20.61,0,0,0,0,0,0,0,0.98,0,0,2.94,0,0,0,0,0,0,0
 72-82,0.98,2.94,0.98,199.28,0,0,0,0.98,0.98,0,0,0,0,0,13.74,0,0.98,0,0,1.96,0,0
 84-94,0,4.25,0,216.66,0,0,0,0,0,0,0,2.12,0,0,4.25,0,0,0,0,1.06,0,0
 96-106,0,0,1.09,348.62,1.09,2.19,5.46,3.28,0,1.09,1.09,5.46,1.09,1.09,6.56,0,0,0,2.19,0,0,1.09
108-118,0.77,1.53,1.53,276.51,0,0,2.3,0.77,1.53,0,0,3.06,0,0.77,13.79,0,0,0.77,0,0,0.77,0.77
120,0,1.96,1.96,311.61,0,0,0,0,0,0,0,5.88,0,0,7.84,0,0,0,3.92,0,0,0
