stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,39.53,382.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0
  5-6,0,190.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,5.26,2.63,0,0,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,155.09,10.51,0,0,76.23,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,15.73,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,125.88,0,0,0,47.2,0,3.15,3.15,0,6.29,0,0,0,0
 14-21,1,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,14,0,0,0,1,0,0,0,2,0,5,3,0,0
 24-34,0,0,0,5.75,0.82,5.75,0.82,0,0.82,0,0,1.64,0,0,0,0,0,4.93,0,0,0.82,36.12,0,0.82,0,0,0,5.75,0,0,0,0.82,4.1,0.82,1.64
 36-46,0,0,0,0.81,0,1.61,0,0,2.42,0,0,0.81,0,0,0.81,0,0,3.22,0,0,1.61,20.95,1.61,0,0,0,0,0.81,0,0,0,0,8.06,0.81,0
 48-58,0,0,0,0,0,10.33,0.57,0.57,1.15,0,0,0,0,0,0,0,0.57,1.72,0,0.57,0.57,38.44,0,0,0,0,0,2.3,0,0,0,0,8.03,0.57,0
 60-70,0,0,0,1.96,0,8.83,1.96,0,1.96,0,0,0,0,0,0,0,0,0.98,0,0,0,28.46,0,0,0,0,0,1.96,0,0,0,0,1.96,1.96,0
 72-82,0,0,0,1.96,0,49.08,0,0,5.89,0.98,0.98,0.98,2.94,0,0,0,0,17.67,0,0,4.91,61.84,0,0.98,0,0,0.98,2.94,0,0,0,0,4.91,2.94,0
 84-94,0,0,0,0,0,18.05,0,1.06,3.19,1.06,0,0,3.19,1.06,0,0,0,8.5,0,0,1.06,15.93,0,0,1.06,0,0,4.25,0,0,0,0,2.12,4.25,0
 96-106,0,0,0,1.09,0,2.19,1.09,0,2.19,0,0,1.09,3.28,0,0,0,0,3.28,1.09,0,0,6.56,1.09,0,0,0,0,3.28,0,0,0,0,0,2.19,0
108-118,0,0,0,1.53,0.77,3.06,0.77,0.77,0.77,0,0,0.77,0.77,0.77,0.77,0.77,0,0.77,0,0,0,11.49,0,0,0,0,0,1.53,0,0,0,0,0.77,0,0.77
120,0,0,0,0,1.96,0,1.96,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0,11.76,0,0,0,0,1.96,3.92,0,0,0,0,0,1.96,0
