stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,8,37,3,0,0,0,1,0,0,1,0,1,0,0,0,7,0,0,3,39,1,0,3,0,0,2,1,0,2,7,12,0,0,28,0,0
 24-34,0,0,0.82,1.64,4.93,0.82,0,0,0,1.64,0.82,0,4.1,0,29.55,0,0,0,16.42,0,0,4.93,22.16,0.82,0,0,0,0,0,0,0,0,0,7.39,0,0,110.82,0,0
 36-46,0,0,0,3.22,0,1.61,0,0,0,3.22,0,1.61,3.22,0,3.22,0,0,0,13.7,1.61,0.81,3.22,20.95,0,0,0,0,0,0.81,0,0,0,0,4.83,0,0,60.43,0,0.81
 48-58,0,0,0,1.15,1.72,2.3,0,0.57,0.57,9.75,0,3.44,10.33,0.57,0.57,0.57,0,0,29.26,1.72,0.57,4.59,10.9,0,0,0,0,0,0,0,0,0,0,6.31,0,0,49.35,0,0
 60-70,0,0.98,0,3.93,0,8.83,0,0.98,2.94,30.43,0.98,1.96,6.87,0,0,7.85,0,0,201.21,0.98,4.91,9.82,17.67,0,0,0,2.94,0,0,0,0,0,0,10.8,0,1.96,35.33,4.91,0.98
 72-82,0,4.91,0,12.76,2.94,70.68,0,1.96,0.98,88.35,7.85,0.98,13.74,0,3.93,10.8,0.98,3.93,409.35,0.98,4.91,7.85,28.47,0,0,2.94,4.91,0,0,0,0,0,0,3.93,3.93,14.72,68.72,21.6,0.98
 84-94,0,1.06,1.06,21.24,2.12,72.22,0,6.37,2.12,58.41,11.68,1.06,9.56,0,8.5,8.5,0,1.06,278.25,0,18.05,7.43,23.36,0,0,3.19,8.5,1.06,0,0,1.06,0,0,6.37,1.06,4.25,54.16,9.56,2.12
 96-106,0,3.28,0,55.74,2.19,71.04,1.09,10.93,2.19,74.31,19.67,0,21.86,0,8.74,4.37,0,1.09,366.1,2.19,12.02,12.02,38.25,0,1.09,3.28,14.21,1.09,0,0,1.09,0,0,9.84,5.46,6.56,56.83,24.04,0
108-118,0,3.06,2.3,65.87,1.53,32.94,0,11.49,2.3,71.23,16.09,0,7.66,0,8.43,6.89,0,1.53,389.11,1.53,5.36,9.19,34.47,0,0.77,1.53,9.96,2.3,0.77,0,0.77,0.77,0,6.13,8.43,3.83,61.28,19.92,0.77
120,0,0,0,78.39,5.88,29.4,0,7.84,1.96,54.87,13.72,0,3.92,0,1.96,3.92,3.92,1.96,235.17,5.88,3.92,5.88,19.6,0,1.96,0,1.96,0,0,0,0,0,0,0,3.92,5.88,35.28,9.8,0
