stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,glial,ionocyte,lateral_line,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,21.03,0,0,0,7.89,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,15.73,0,0,0,9.44,0,0,0
 14-21,0,0,0,2,0,2,0,0,0,4,0,0,0,1,1,5,10
 24-34,0,0,0,0.82,0,2.46,0,0,0,4.1,0,0.82,0,0,0,0.82,6.57
 36-46,0,0,0,0,0,0.81,0,0,0,1.61,0,4.03,0,0,0.81,0,1.61
 48-58,0,0,0,0,1.15,2.3,0,0,0.57,0.57,0,1.15,0,0,1.15,0,4.02
 60-70,0,0,0,0,0,2.94,0,0,0,0,0,2.94,0,0,0,0,0.98
 72-82,0,0,0,0,0.98,2.94,0,0,0.98,0,0,1.96,0.98,0,0,0,1.96
 84-94,0,0,0,0,0,1.06,1.06,1.06,0,1.06,0,4.25,1.06,0,1.06,0,0
 96-106,0,0,1.09,0,0,2.19,1.09,0,0,2.19,0,0,0,0,0,0,1.09
108-118,0,0,0,0.77,0.77,0,0,0,0.77,0,0,0.77,2.3,0,0,0.77,0
120,0,0,0,1.96,0,1.96,0,0,0,0,0,1.96,0,0,0,0,0
