stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.95,44.69,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,37.76,0,3.15,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292.67,163.64,0,0,59.79,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,19,35,2,3,0,0,64,3,1,1,0,0,0,0,0,0,12,0,0,31,37,83,0,0,12,0,1,3,0,6,358,0,0,0,0,0
 24-34,0,0,32.01,2.46,0,0.82,0,2.46,53.36,0,0,0,0,0.82,0,0,1.64,0,73.88,0,0,176.48,88.65,6.57,1.64,0,0,0,0,0,0.82,5.75,186.33,0,0,0.82,0,0
 36-46,0,0,4.83,2.42,0,12.09,0,5.64,26.59,0,0,1.61,0,0,0,0.81,2.42,0,95.87,0,0.81,135.35,124.07,1.61,1.61,0,0,0,0.81,1.61,0.81,0,88.62,0,0,2.42,0,0.81
 48-58,0,0,6.31,4.59,0,36.15,0,2.87,17.79,2.87,0,0,0,0,0,0.57,0,0.57,122.79,0,0.57,80.33,129.11,0.57,0.57,0,0,0,1.72,0,0,0,83.2,0,0,1.72,0,0
 60-70,0,0,0.98,5.89,0,54.97,0,1.96,4.91,11.78,0,0,0,0,0,0,0,0,100.12,0,0,32.39,79.5,0,0.98,0,0,0,0.98,0,0,0,42.21,0,1.96,0,0.98,0
 72-82,0,0,0,2.94,0,50.06,0,7.85,21.6,14.72,0,0,0,0,0.98,0,0,0,126.63,0,1.96,41.23,97.18,0,1.96,0.98,0,1.96,0,0,0,0,52.03,0,0.98,1.96,2.94,0
 84-94,0,0,0,5.31,0,36.11,1.06,3.19,4.25,14.87,0,1.06,0,0,0,1.06,0,0,90.27,0,1.06,28.68,24.43,0,1.06,0,0,1.06,0,0,0,0,44.61,1.06,0,1.06,1.06,0
 96-106,0,0,0,5.46,0,28.41,1.09,3.28,9.84,13.11,0,0,0,0,1.09,0,0,0,115.84,0,0,27.32,49.18,0,1.09,0,0,1.09,0,0,0,0,59.01,0,1.09,1.09,2.19,0
108-118,0,0,0,3.06,0,7.66,0,1.53,6.89,8.43,0,0,0,0,0,0,0,0,85.02,0.77,0,17.62,21.45,0,0,0,0,3.06,0,0,0,0,23.74,0,0,2.3,1.53,0
120,0,0,0,0,0,1.96,0,3.92,0,1.96,0,0,1.96,0,0,0,0,0,47.03,0,0,13.72,15.68,0,0,0,0,5.88,0,0,0,0,17.64,0,0,0,0,0
