stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,ionocyte,mesenchyme,mucous,muscle,neural,notochord,olfactory,periderm,spinal_cord,taste
  3-4,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,7.89,2.63,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
 24-34,0,0,3.28,0,0,0,0,0.82,11.49,0,0,1.64,4.1,0,0.82,13.13,0.82,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0.81,0,3.22,0,0,5.64,0,0
 48-58,0,0,0.57,1.15,0,0,0,0.57,0,0,0,0,1.72,0,0.57,3.44,0,0
 60-70,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,1.96,0,0
 72-82,0,0,0,0,0,0,0,0,0.98,0.98,0,0,1.96,0,0,2.94,0,0
 84-94,0,0,1.06,0,0,0,0,0,0,0,0,0,3.19,0,1.06,5.31,0,0
 96-106,0,1.09,3.28,1.09,0,1.09,2.19,0,1.09,1.09,3.28,0,1.09,0,1.09,13.11,0,1.09
108-118,0,0,3.83,0,0,2.3,1.53,0,3.06,0.77,0,0,2.3,0,3.06,6.89,0,0.77
120,0,0,1.96,0,1.96,0,0,0,0,0,0,0,1.96,0,1.96,9.8,0,0
