stage,axial,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fast_muscle,glial,gut,hatching_gland,immune,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,visceral_smooth_muscle
  3-4,26.36,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329.45,0,0
  5-6,6.13,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,269.7,0,0
  7-9,2.63,0,7.89,0,0,2.63,0,0,0,2.63,0,0,0,0,0,36.8,0,7.89,26.29,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,6.29,18.88,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,39,3,0,18,1,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,58.28,0,0,1.64,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,8.06,0,0.81,0,0,4.03,0,0,0.81,0,0
 48-58,0,0,0,0,0,1.15,0,0,0,0,24.1,0,0,0,0,6.89,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0.98,0,0,30.43,0.98,0,0.98,0,5.89,0,0,0,0,0
 72-82,0,0,0,0,0,6.87,0,1.96,0,0,46.14,0,1.96,0,0,5.89,0,0,0,0,0
 84-94,0,0,0,0,0,3.19,0,1.06,0,0,84.96,0,1.06,0,0,9.56,0,0,0,0,0
 96-106,0,0,0,0,0,2.19,0,2.19,1.09,0,99.45,0,1.09,0,0,7.65,0,0,1.09,0,0
108-118,0,0,0,0.77,0.77,1.53,0,2.3,1.53,0,80.43,0,0.77,0,0,6.89,0,0,0.77,0,0.77
120,0,0,0,0,0,0,1.96,0,0,0,94.07,0,0,0,0,9.8,0,0,0,0,0
