stage,axial,blastomeres,endocrine_pancreas,endoderm,eye,fin_mesenchyme,gut,iridophores,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,spinal_cord
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,2.63,2.63,0,2.63,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
 24-34,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,4.93
 36-46,0,0,0,0.81,0,0,0,0,0.81,0,6.45,0.81,0.81,0,0,6.45
 48-58,0,0,0,0.57,0,0,0,0,0,0.57,8.03,0,0,0,0.57,4.59
 60-70,0,0,0,0,0,0,0.98,0,0,0,5.89,0,0.98,0,0,1.96
 72-82,0,0,0,0,0.98,0,6.87,0,0,0,10.8,0,0,0,0,1.96
 84-94,0,0,3.19,0,1.06,1.06,5.31,0,0,0,3.19,0,1.06,0,0,0
 96-106,0,0,1.09,0,0,0,12.02,0,1.09,0,8.74,0,1.09,0,0,0
108-118,0,0,0,0,0.77,0,7.66,0.77,0,0,7.66,0,2.3,0,0,0.77
120,0,0,0,0,1.96,0,15.68,0,0,0,1.96,0,1.96,0,0,0
