stage,endocrine_pancreas,epidermis,erythrocytes,eye,glial,immune,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,1,0,0,3,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0,0,35.3,0,0.82,0.82,0,10.67,0,0
 36-46,0,0,0,3.22,1.61,0,0,0,0,1.61,0,0,0,113.6,0,0,0,0,25.78,0,0
 48-58,0,1.15,0,9.75,2.3,0,0,0,0.57,2.3,0,0,0.57,126.81,0,0,0,0,35.58,0,0
 60-70,0,0.98,0,27.48,0,0,0,0,0,1.96,0,0,0.98,217.9,0,0.98,0,0,41.22,0,0.98
 72-82,0,1.96,0,46.14,4.91,0,0,0,0,3.93,0,0.98,0,225.78,0.98,0,0.98,0,25.52,0,0
 84-94,0,0,1.06,21.24,5.31,0,1.06,0,0,3.19,0,0,0,111.51,1.06,1.06,0,0,10.62,0,0
 96-106,1.09,2.19,2.19,18.58,8.74,1.09,0,1.09,0,1.09,1.09,0,1.09,91.8,1.09,0,0,0,9.84,0,0
108-118,0,0,0.77,22.21,6.13,0,0,0,0,0.77,0,0,0,103.41,0,0.77,0,0.77,1.53,0.77,0
120,0,0,1.96,23.52,13.72,1.96,0,0,0,0,0,0,0,176.38,0,1.96,1.96,0,13.72,0,0
