stage,endocrine_pancreas,erythrocytes,fast_muscle,immune,ionocyte,melanocytes,mesenchyme,mucous,periderm,presomitic_mesoderm,spinal_cord
  7-9,0,0,0,0,0,0,0,0,2.63,0,0
 14-21,0,0,0,0,1,0,0,0,0,1,0
 24-34,0,0,0,1.64,0,0,0,0.82,0,0,0.82
 36-46,0,0.81,0,7.25,0,0,0,1.61,0,0,0
 48-58,0,0,0,5.74,0,0,0,0.57,0,0,0
 60-70,0,0,0,7.85,0,0,0,0.98,0,0,0
 72-82,0.98,0,0,10.8,0,0,0.98,0,0,0,0
 84-94,0,1.06,1.06,11.68,0,0,0,0,0,0,0
 96-106,0,0,0,7.65,0,1.09,0,0,0,0,0
108-118,0,0,0,6.89,0,0,0.77,0.77,0,0,0
120,0,0,0,7.84,0,0,0,0,0,0,0
