stage,endocrine_pancreas,epidermis,eye,fin_epithelia,glial,iridophores,mesenchyme,mural_cell,neural,notochord,otic,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,1,1,0,0,1,2,0,0,0
 24-34,0,0,1.64,0,0,0,0,0,22.16,0,0,0,0,8.21,0,0,0
 36-46,0,0,5.64,0,0.81,0,0,0,52.37,0,0,0.81,0,13.7,0,0.81,0
 48-58,0,0.57,4.59,0,1.72,0,1.15,0.57,68.28,0,0,0,0,17.79,0,0,0
 60-70,0,0,18.65,0.98,5.89,0,3.93,0.98,87.36,0,0,0,0,15.7,0,0,0
 72-82,0,1.96,16.69,0,10.8,0,3.93,0,78.53,0,0.98,0,0,10.8,0,0,0
 84-94,0,0,6.37,0,3.19,0,2.12,0,23.36,0,0,0,0,3.19,0,0,0
 96-106,0,0,12.02,0,3.28,0,0,0,29.51,0,0,0,0,0,0,0,0
108-118,0.77,0,6.13,0,4.6,0,1.53,0,19.15,0,0,0,0,0,0.77,0,0
120,0,0,5.88,0,15.68,1.96,3.92,0,54.87,0,0,0,0,3.92,0,0,1.96
