stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,mesenchyme,mucous,muscle,neural,periderm,spinal_cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,1.64,0.82,0,0,0,0,0,0,0,3.28,22.98,2.46,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,5.64,0,0
 48-58,0,0,0,0.57,0.57,0,0,0,0,0,0,5.16,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,4.91,0,0
 72-82,0,0,2.94,0.98,0,0,0,0.98,0,0.98,0.98,7.85,0.98,0
 84-94,0,0,0,0,0,1.06,3.19,0,0,0,0,4.25,0,0
 96-106,0,0,0,0,0,0,3.28,0,1.09,0,1.09,21.86,0,0
108-118,0,1.53,0,0,0,0,3.06,1.53,0,0,3.06,5.36,0,0.77
120,0,3.92,0,0,0,0,5.88,0,0,0,0,5.88,0,0
