stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,92.25,1713.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,386.17,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,24.52,6.13,0,0,6.13,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,10.51,0,7.89,0,0,0,60.46,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,212.93,13.14,0,0,115.66,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,9.44,0,3.15,0,75.53,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,377.64,22.03,0,0,163.64,0,0,0,0,18.88,0,0,0,0,0,0,0
 14-21,0,0,0,0,15,3,0,4,0,0,0,1,0,0,0,1,0,0,0,1,10,0,0,5,83,0,0,1,1,0,0,0,28,1,17,24,0,0,0,0,0
 24-34,0,0,0,0,7.39,0,0,21.34,0,1.64,3.28,0,0,0.82,0.82,0,0,0.82,0.82,0.82,17.24,0,0,4.93,134.62,1.64,3.28,1.64,0,0,2.46,0,0.82,0,6.57,32.83,0,0,3.28,0,0.82
 36-46,0,0,0,0.81,1.61,0,0,24.98,0.81,0.81,4.03,0,0,0,0,0,0,0,0.81,0,11.28,0,0,8.06,89.43,0,2.42,0.81,0,0,2.42,0,0.81,0,0,18.53,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,0,47.05,0.57,0,16.64,0.57,0,1.15,1.15,0,0,0.57,0,0,16.07,0,0,5.74,114.76,0.57,2.3,0,0,0,1.15,0,0,0,0,19.51,0,0,0.57,0,0
 60-70,0,0,0,0,1.96,0,0,40.24,0,0,7.85,0.98,0,0,0,0,0.98,0,0.98,0,22.58,0,0,5.89,66.74,0,0.98,0.98,0,0,0,0,0,0,0,9.82,0,0,1.96,0,0
 72-82,0,0,0,0,0.98,0.98,0,64.79,0.98,0.98,25.52,1.96,0,0.98,0,0.98,1.96,0,0,0,41.23,0,0.98,8.83,116.82,0,1.96,2.94,0,0,3.93,0,0,0,0,11.78,0,1.96,1.96,0,0
 84-94,0,0,0,0,10.62,2.12,0,42.48,0,1.06,19.12,5.31,0,1.06,4.25,2.12,2.12,4.25,0,0,24.43,0,2.12,13.81,49.92,0,3.19,2.12,0,0,5.31,0,0,2.12,0,3.19,1.06,2.12,2.12,0,1.06
 96-106,0,0,2.19,0,6.56,2.19,0,20.76,3.28,2.19,15.3,2.19,0,0,2.19,0,0,0,1.09,0,31.69,1.09,2.19,7.65,41.53,2.19,3.28,5.46,0,0,12.02,0,0,0,0,3.28,0,1.09,1.09,0,1.09
108-118,0,0,1.53,0,11.49,6.13,1.53,30.64,1.53,0,16.09,0.77,0,0,3.83,0,2.3,0,2.3,1.53,29.11,0,2.3,6.89,62.81,0,2.3,6.89,0,2.3,14.55,0,0,0,0,2.3,0.77,0,1.53,0.77,0.77
120,0,0,0,0,13.72,1.96,0,15.68,1.96,1.96,3.92,3.92,0,0,1.96,3.92,0,1.96,0,0,23.52,0,0,9.8,41.16,0,1.96,0,0,0,19.6,0,0,1.96,0,0,0,0,1.96,0,1.96
