stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,hatching_gland,heart,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,60.46,0,0,0,0,0,0,0,0
 10-12,0,22.03,0,0,3.15,0,6.29,0,0,0,657.72,0,15.73,0,3.15,0,0,0,0
 14-21,0,0,3,0,1,5,0,0,1,0,463,1,0,1,0,0,1,23,0
 24-34,0,0,1.64,0,4.93,30.37,0.82,0.82,0,0,478.56,0,0,0,0,0,0,33.66,0
 36-46,0,0,0,0,1.61,12.09,0,0,1.61,0,320.66,0,0,0,0,0,0,17.72,0
 48-58,0,0,0,0,2.87,9.18,0,0.57,2.87,1.15,176.16,0,0,0,0,0.57,0,14.92,0
 60-70,0,0,0.98,0,1.96,6.87,0,0,7.85,0.98,104.04,0,0,0,0,0,0,6.87,0
 72-82,0,0,0,1.96,3.93,17.67,0,0,9.82,0,77.55,0,0,0,0,0,0,5.89,0.98
 84-94,0,0,1.06,0,7.43,6.37,0,0,9.56,0,32.92,0,0,0,0,0,0,5.31,0
 96-106,0,0,0,1.09,6.56,16.39,0,0,5.46,0,31.69,0,0,0,0,0,0,1.09,0
108-118,0,0,1.53,0.77,3.06,9.19,0,0,4.6,0,29.11,0,0,0,0,0.77,0,0.77,0
120,0,0,3.92,0,1.96,3.92,0,0,7.84,0,31.36,0,0,0,0,0,0,0,0
