stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,7,4,0,0,0,1,0,0,7,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,1.64,0,0,0,0,0,0,0,0,0,0,2.46,0,0,2.46,10.67,0,0,0.82,0,0.82,0,12.31,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,4.83,0,0,1.61,1.61,0,0.81,0,0,0,0,4.83,0,0,3.22,19.34,0,0,0,0,0,0.81,5.64,0,0,0.81,0,0
 48-58,0,0,0,0,0.57,0,0,48.77,0,0,5.16,0.57,0,0.57,0,0.57,0,0,4.02,0,2.3,1.15,33.85,0.57,0,0,0,0,0.57,5.74,0,0,1.72,0.57,0
 60-70,0.98,0,0,0,0,0,0,200.23,0.98,0,3.93,0.98,0,0,0,1.96,0,0,9.82,0,0,0.98,40.24,0,0,0,0,0,2.94,14.72,0,0,0,0,0.98
 72-82,0,0,0.98,0,0,0,0,252.29,0.98,0,4.91,4.91,0,0,0,6.87,0,0,17.67,0,4.91,0,76.57,0,0,0,0,0,0,8.83,0,1.96,1.96,3.93,0.98
 84-94,0,0,0,0,2.12,2.12,0,193.29,2.12,0,2.12,4.25,3.19,1.06,0,8.5,0,0,7.43,0,3.19,1.06,38.23,0,0,0,0,1.06,0,2.12,1.06,1.06,0,13.81,1.06
 96-106,0,0,1.09,0,1.09,0,1.09,136.61,2.19,0,4.37,6.56,2.19,0,1.09,4.37,0,1.09,5.46,1.09,3.28,0,36.06,0,1.09,0,0,0,0,0,0,1.09,2.19,18.58,0
108-118,0,0,1.53,0,0,0,0,102.64,1.53,1.53,3.83,0.77,9.96,0,0.77,16.09,0,0,5.36,0,3.06,1.53,33.7,0,0.77,1.53,0,0,2.3,3.06,0,0,0,10.72,0
120,0,0,0,0,1.96,1.96,0,96.03,3.92,0,5.88,1.96,21.56,0,0,9.8,1.96,0,7.84,0,1.96,0,60.75,0,0,0,0,0,0,3.92,0,0,0,11.76,0
