stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,hatching_gland,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pgc,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,73.56,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,21.03,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,6.29,0,0,6.29,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,1,1,2,0
 24-34,0,0,0,2.46,0,0,0,0,0,0,0,0,0,4.93,0,0,0,0.82,0,0,0.82,0
 36-46,0,0,0,2.42,0,0,0,0,0,1.61,0,0,0.81,6.45,0,0,0,0,0,0,2.42,0.81
 48-58,0,0,0,2.3,0,1.15,0,0,0.57,1.15,0,0,0,7.46,0,0,0,0,0,0,2.3,0
 60-70,0,0,0,2.94,0.98,0,0,0,0,0,0,0,0,3.93,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,1.96,0,0,0,0.98,0,0.98,0,0,0,2.94,0,0.98,0,0,0,0,0.98,0
 84-94,0,0,0,1.06,0,1.06,0,0,0,1.06,0,1.06,0,2.12,0,2.12,0,0,0,0,0,0
 96-106,0,0,0,3.28,0,0,0,0,0,1.09,1.09,0,0,2.19,0,5.46,0,0,0,0,2.19,0
108-118,0,0,0,3.06,0,0.77,0,0,0,0.77,0,0,0,0.77,0.77,3.83,0,0,0,0,0.77,0.77
120,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,1.96,1.96,0,0,0,0,0,0
