stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,10.51,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,7.89,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,62.94,3.15,0,0,9.44,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,111,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,1,1,0,4,36,0,2,7,0,1,1,0,0,2,10,0,0,0,0,0
 24-34,0,0,0,0.82,73.88,0,4.1,0,11.49,0,0,0,0,0,0,0,0,3.28,4.1,0,9.03,0,0,21.34,24.63,0.82,1.64,6.57,0,0,0,1.64,0.82,0.82,7.39,0,0,0,0,0
 36-46,0,0,0,0,53.98,0,3.22,0,10.47,0,0,0,0,0.81,0,0,0,0.81,0,0,18.53,1.61,0,5.64,10.47,2.42,2.42,2.42,0,0,0.81,0,0.81,0,4.03,0,0,1.61,0,0
 48-58,0,0,0,0,58.53,0,2.87,0,17.21,0.57,2.3,0,0,0,0.57,0,0,1.72,0.57,0,21.23,0.57,0.57,5.16,12.05,1.72,1.15,4.02,0,0.57,0,0,0,0,4.59,0,0,0.57,0,0.57
 60-70,0,0,0,0,61.84,0,3.93,0,27.48,0.98,2.94,0.98,0,0,0,1.96,0,1.96,0,0,20.61,0,0,2.94,5.89,0.98,0,4.91,0,0,0,0.98,0,0,0.98,0,0.98,0.98,0,0
 72-82,0,0,0,0,74.61,0,6.87,0.98,18.65,0.98,1.96,4.91,0,0.98,0.98,6.87,0,3.93,0.98,0.98,34.36,4.91,0,1.96,16.69,0.98,2.94,4.91,0,0,0,0,0,0,0.98,0.98,0.98,5.89,0,0
 84-94,0,0,0,0,124.26,0,3.19,0,47.79,1.06,0,3.19,1.06,0,0,3.19,0,0,0,0,20.18,2.12,0,3.19,6.37,7.43,0,4.25,0,0,0,2.12,0,0,1.06,2.12,0,4.25,0,0
 96-106,0,0,0,0,140.98,1.09,4.37,0,37.16,0,0,6.56,0,1.09,0,3.28,0,3.28,0,0,24.04,1.09,0,1.09,9.84,2.19,4.37,7.65,0,2.19,0,0,0,0,0,0,1.09,2.19,2.19,0
108-118,0,0,0.77,0,160.85,0,6.89,0,64.34,1.53,3.06,12.26,0,0,0.77,0.77,0.77,1.53,0.77,0,24.51,2.3,0.77,2.3,8.43,6.89,3.83,4.6,0,0,0,0,0,0,0.77,2.3,0,1.53,0.77,0.77
120,0,0,0,0,190.1,1.96,0,1.96,41.16,0,3.92,17.64,0,0,0,1.96,0,1.96,1.96,0,23.52,5.88,0,1.96,21.56,9.8,3.92,0,0,0,0,0,0,0,0,1.96,0,3.92,0,0
