stage,axial,blastomeres,endoderm,erythrocytes,eye,fin_mesenchyme,glial,heart,iridophores,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,26.36,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,2,56,1,0,0,0,15,0,0,0,0
 24-34,0,0,0.82,0.82,6.57,0.82,0,0,0,4.93,0,1.64,274.99,0,0,0,0.82,46.79,0,0,5.75,0
 36-46,0,0,0,0,11.28,0,4.83,0,0,5.64,0.81,0,281.98,0,0,0,0,51.56,0,0,2.42,0
 48-58,0,0,0,0,10.9,0,8.03,0,0,9.75,0,0.57,110.74,0,0,0,0,30.41,0,0,1.72,0
 60-70,0,0,0,0,8.83,0,8.83,0.98,0,28.46,0,0,23.56,0.98,0,0,0,8.83,0,0,0.98,0
 72-82,0,0,0,0,2.94,0,1.96,0,0,19.63,0,0,17.67,0,0,0.98,0,1.96,0,0,2.94,0.98
 84-94,0,0,0,0,4.25,0,1.06,0,0,14.87,1.06,0,13.81,0,0,0,0,3.19,1.06,1.06,3.19,1.06
 96-106,0,0,0,0,3.28,0,3.28,1.09,0,14.21,0,1.09,12.02,0,0,1.09,0,0,0,0,4.37,0
108-118,0,0,0,0,3.06,0,0,0,1.53,10.72,0,0,13.02,0,0,0,0,0,0,0.77,3.06,0
120,0,0,0,0,3.92,0,1.96,0,0,5.88,0,1.96,1.96,0,0,0,0,0,0,0,1.96,0
