stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,18.4,0,0,0,18.4,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,3.15,0,0,28.32,0,3.15,0,6.29,0,28.32,0,0,0
 14-21,0,0,0,5,0,0,2,0,0,0,1,1,0,8,2,0,0,0,1,0,2,13,26,3,0,1,0,0,1,7,0,428,1487,9,0,0
 24-34,0,0,0,2.46,0,0,3.28,20.52,0,0.82,0.82,0,0,0,0.82,1.64,0,0,0,0.82,8.21,32.83,73.88,0,0,0,0,0,10.67,0.82,4.93,179.77,579.52,19.7,0,4.1
 36-46,0,0,0,0.81,0,0,4.83,28.2,0,0.81,0,0,0,1.61,1.61,0,0,0.81,0,0,2.42,12.09,16.11,0,0.81,0,0,0,7.25,0,10.47,69.29,29.81,1.61,0,2.42
 48-58,0,0,0,0,0,0,7.46,19.51,0,0,0,0,0,0,0.57,0,0.57,0,0,0,2.3,16.64,8.03,0,1.15,0,0,0,2.87,0,10.9,18.36,0,1.72,0,0
 60-70,0,0,0,0,0,0,3.93,45.15,0,0,0,0.98,0,0.98,4.91,0,0,0,0,0,0.98,19.63,10.8,0,0,0,0.98,0,1.96,0,21.59,20.61,0,1.96,0,0
 72-82,0,0,0,0,0.98,0,9.82,25.52,0,0,0.98,15.71,0,0,0,0,0,0,0.98,0,4.91,17.67,11.78,0,0.98,0,0.98,0,2.94,0,33.38,10.8,0,0,0,0
 84-94,0,0,0,1.06,0,0,6.37,36.11,2.12,0,2.12,26.55,0,0,1.06,0,0,0,0,0,1.06,13.81,5.31,0,0,0,0,0,14.87,0,75.4,15.93,0,2.12,0,1.06
 96-106,0,0,0,0,2.19,1.09,6.56,29.51,1.09,0,0,46.99,0,1.09,1.09,0,0,0,0,0,4.37,12.02,16.39,0,2.19,1.09,0,1.09,4.37,0,71.04,16.39,0,1.09,0,1.09
108-118,0,0,0,2.3,0,0,3.06,26.04,0,0,1.53,92.68,0,0,0,0,1.53,0,0.77,0,3.83,7.66,5.36,2.3,0,0,0,0,9.19,0,80.43,18.38,0,0,1.53,0.77
120,0,0,1.96,1.96,3.92,0,1.96,15.68,1.96,0,0,84.27,0,1.96,1.96,0,0,0,0,0,0,19.6,9.8,0,0,0,0,0,3.92,1.96,35.28,9.8,0,0,0,0
