stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,1,6,0,0,0,0
 24-34,0,0,9.03,0,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0,0.82,0,0,0.82,100.97,0,0,0,0,0,0.82,0,0,7.39,0,0,0,0
 36-46,0,0,0.81,0,0,31.42,0,0,0,1.61,0,0,0,0,0,0,0,2.42,0,0,0,293.26,0,0,0,0,0,0,0,0,12.89,0,0,0,0
 48-58,0,0.57,4.59,0,0,163.53,0,0,0,14.92,0,0.57,0,0,0,0,0.57,14.35,0.57,0.57,0.57,390.76,0,0,0.57,0,0,0.57,0,0,26.4,0,0,0,0.57
 60-70,0,0,4.91,0,0,208.08,0,0,0,21.59,0,0,0,0,0.98,0,0.98,10.8,0,0.98,1.96,281.7,0.98,0,0,0,0,0,0,0,23.56,0.98,0.98,0,0
 72-82,0,0,5.89,0.98,0,210.08,0,0,0,14.72,0,0,1.96,0.98,0,0,0,8.83,1.96,0,0.98,162.96,0.98,0.98,0,0,0.98,0.98,0,0,11.78,0,0.98,0,0.98
 84-94,0,0,13.81,1.06,0,154,0,0,1.06,19.12,1.06,1.06,0,0,1.06,1.06,0,8.5,0,0,2.12,89.21,0,1.06,0,0,0,1.06,0,0,4.25,0,0,0,1.06
 96-106,0,0,6.56,2.19,2.19,99.45,0,0,0,8.74,1.09,0,0,0,0,2.19,0,0,0,0,0,62.29,0,1.09,0,0,1.09,0,0,0,2.19,0,1.09,1.09,0
108-118,0,0,5.36,0,0,98.81,0.77,0.77,0,3.83,0,0,0,0,0.77,0.77,0,5.36,0,0.77,0.77,76.6,0,0.77,0,0,0,0,0.77,0,0.77,0,0,0,0
120,0,0,5.88,0,0,99.95,0,1.96,0,3.92,0,0,0,0,0,0,0,3.92,1.96,0,0,103.87,0,0,0,0,0,0,0,0,1.96,0,0,0,0
