stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,31.47,0,0,0,15.73,0,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,11,21,2,1,0,3,0,0,1,6,0,5,32,0,0,0
 24-34,0,0,1.64,4.93,0.82,0.82,1.64,0.82,0,0,0,0,0,0,0,0,0,10.67,0,0.82,8.21,113.28,0.82,0.82,0.82,0,0,1.64,0,0,0,1.64,176.48,0,0,0
 36-46,0,0,0,0,1.61,0,20.14,0,0,1.61,0.81,0,0,0,0,0,0.81,12.89,0,0.81,3.22,183.69,0,2.42,0,0,0,0.81,0,0,0,0,251.37,0,0,0
 48-58,0,0,0,0,0,0,12.62,0,0.57,2.3,0,0,0,0,0.57,0,0,13.77,0,0,3.44,89.51,0,0,0.57,0,0,0,0,0,0,0,160.67,0,0,0.57
 60-70,0,0,0,0,0,0,22.58,0,0.98,4.91,0.98,0,0,0,0,0,0.98,6.87,0,0,0,69.69,0,0,0,0,0,0.98,0,0,0,0,53.98,0.98,0,0
 72-82,0,0,0,0,0.98,0,17.67,0,0.98,2.94,3.93,0,0,0,0,0,0,6.87,0,0,1.96,63.81,0,0,0,0,0,0.98,0,0,0,0,8.83,0,0,0
 84-94,0,0,2.12,0,2.12,0,11.68,0,0,3.19,1.06,0,1.06,1.06,0,0,0,2.12,0,0,1.06,27.61,0,2.12,1.06,0,0,0,0,0,0,0,6.37,0,0,0
 96-106,0,0,1.09,0,1.09,0,7.65,0,0,4.37,1.09,0,0,2.19,0,0,1.09,6.56,0,0,0,36.06,0,0,0,0,1.09,1.09,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0,1.53,0,9.96,0,0,0.77,3.83,0,0,3.06,0,0,0.77,1.53,0,0,0.77,32.17,0,0,1.53,0,0,0,0,0,0,0,3.06,0.77,0,0
120,0,0,0,0,0,0,5.88,0,0,1.96,3.92,0,0,0,0,3.92,0,0,1.96,0,0,47.03,0,0,3.92,0,0,3.92,0,0,1.96,0,0,0,1.96,1.96
