stage,axial,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle
  7-9,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0
 24-34,0,0.82,0.82,0,0,0.82,3.28,0,0,0,0,0,0,0,0.82,0,0,9.03,3.28,0,0,5.75,0,4.93,0,0,0
 36-46,0,0,0.81,0,0,0.81,1.61,0,0.81,0.81,0,0,0,0,0,0,0,22.56,4.03,0,0,4.83,0.81,1.61,0,0,0
 48-58,0,0,0,0,3.44,0,1.15,0,0,0,0,1.15,0,0,0.57,0,0.57,81.48,3.44,0.57,0,0.57,0,5.74,0,0.57,0
 60-70,0,0.98,0,0,15.7,0,7.85,0.98,0,0,0,0,0,0,2.94,0,0,223.79,3.93,0,0,1.96,0,3.93,0,0.98,0
 72-82,0,7.85,0.98,0,33.38,0,9.82,0.98,0,0,0.98,0,0,0,6.87,0.98,0,199.28,0,0.98,0,0.98,0,0,0,5.89,0
 84-94,0,3.19,6.37,1.06,30.8,0,5.31,1.06,0,0,0,0,0,0,9.56,0,0,96.65,0,0,0,1.06,0,1.06,2.12,0,3.19
 96-106,0,4.37,0,1.09,31.69,0,2.19,1.09,0,0,0,1.09,1.09,0,8.74,0,1.09,80.87,5.46,0,0,1.09,0,2.19,1.09,3.28,4.37
108-118,0,6.13,1.53,1.53,39.06,0,3.06,1.53,0,0,0,0.77,0,0,13.79,0,0.77,95.75,3.06,0.77,0,1.53,0,1.53,2.3,0.77,4.6
120,0,1.96,5.88,0,56.83,0,1.96,1.96,0,0,1.96,3.92,0,1.96,3.92,0,0,111.71,3.92,1.96,0,0,1.96,0,0,0,5.88
