stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,6.29,0,0,15.73,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5,7,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,4,0,3,77,1,1,0,1,0,0,4,0,1,2,60,0,0,4,0,0
 24-34,0,0,0.82,0,0,1.64,0,9.03,0,0,0,1.64,0,0,4.1,0.82,0,0,0.82,0,0,7.39,0,0.82,520.42,0,9.03,1.64,0,0,0.82,0,0,0,0,144.47,0,0,17.24,0,0
 36-46,0,0,0,0,1.61,0,0,24.17,0.81,0,0,13.7,0,0,0.81,0,0,0,0,0,0,0.81,0,0,1063.48,0.81,14.5,1.61,0,0,0,0,0,0.81,0,229.62,0,0,24.98,0,0
 48-58,0,0,0.57,0,4.59,0.57,0,103.28,0.57,0.57,1.15,31.56,0,0,3.44,0,0.57,0,0,0,0.57,9.18,0,1.72,1179.17,0.57,12.05,0.57,0,0,2.3,0,0,0.57,0,235.83,0,0,36.15,0,2.3
 60-70,0,0,0.98,0,1.96,0,0,193.36,1.96,0,0.98,35.33,0,0,3.93,0,0,0.98,0,0,0,14.72,1.96,1.96,1563.56,0.98,3.93,2.94,0,0,3.93,0,0,0,0,225.75,0,0,36.32,0,0.98
 72-82,0,0,0,0,6.87,3.93,0,257.2,0,0,3.93,41.23,0,0,4.91,0.98,0,1.96,0.98,0,0,28.47,1.96,2.94,1285,0,13.74,4.91,0,0,3.93,0,0,0,0,114.85,0.98,0,77.55,0.98,1.96
 84-94,0,0,0,0,10.62,0,0,175.24,1.06,1.06,2.12,23.36,0,0,3.19,2.12,0,4.25,3.19,0,0,8.5,1.06,1.06,668.02,0,5.31,5.31,0,0,2.12,0,0,0,0,71.16,0,0,64.78,1.06,1.06
 96-106,0,0,0,0,6.56,0,1.09,143.16,0,0,1.09,28.41,2.19,0,0,1.09,1.09,3.28,3.28,1.09,0,14.21,1.09,0,548.61,0,5.46,1.09,0,0,4.37,0,0,0,0,22.95,0,1.09,89.61,0,1.09
108-118,0,0,0.77,0,6.89,3.06,0,114.89,1.53,0,1.53,19.92,1.53,0,3.83,1.53,0,3.83,0,1.53,0,23.74,0,0,604.34,0,11.49,2.3,0,0.77,3.06,0,0,0,0,19.15,0.77,0,70.47,0,0
120,0,0,0,1.96,13.72,1.96,0,137.18,0,0,0,23.52,3.92,0,1.96,3.92,1.96,0,5.88,0,0,21.56,1.96,5.88,825.07,1.96,7.84,0,0,0,9.8,0,3.92,0,0,27.44,0,0,60.75,0,0
