stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,neural,olfactory,paraxial_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,3.15,0,3.15,0,0,0,0
 14-21,0,0,0,1,0,0,0,1,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,4.03,0,0,0,0,0,0
 48-58,0,0,0,0,1.15,0,0,5.74,0,0,0,0,0,0
 60-70,0,0,0,0,41.22,0,0,9.82,0,0,0,0,0,0
 72-82,0,0,0,0,72.64,4.91,0,6.87,0,0,0,0.98,0.98,0
 84-94,0,0,0,0,41.42,3.19,0,9.56,0,0,0,0,0,1.06
 96-106,0,0,0,0,41.53,0,1.09,4.37,0,0,0,0,0,1.09
108-118,0,0,0.77,0,23.74,0,0,6.89,0,0,0,0,0,0
120,0,0,0,0,11.76,3.92,0,5.88,1.96,0,0,0,0,0
