stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,14,0,2,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,1.64,0,1.64,0,0.82,0,0,0,0,0,0,0,0,0,0,4.1,0,0.82,129.7,0,4.1,0,0,0.82,0,26.27,0,0,0,0
 36-46,0,0,0,0,0,3.22,0,0,0,0.81,0,0,0,0,0,0,0,0,12.09,0,0,351.27,0,14.5,0,0,0.81,0,45.92,0,0.81,0,0
 48-58,0,0,0,0.57,0,9.75,0,0.57,0.57,2.87,0.57,0,0,0,0,0,0,0,14.92,0,3.44,482.57,0,9.18,0,0,0,0.57,48.77,0,1.15,0,0
 60-70,0,0.98,0,0.98,0,41.22,0,0,0.98,1.96,0,0,0,0,0.98,0.98,0,0,14.72,0,0.98,743.99,0,2.94,0,0,1.96,0,86.37,0,0,0,0
 72-82,0,2.94,0,6.87,0.98,53.99,0.98,1.96,0,5.89,3.93,0,0.98,0,0,0,0,1.96,16.69,0,1.96,641.03,0,2.94,0.98,1.96,0,0,53.99,0,0.98,0,0.98
 84-94,0,10.62,0,3.19,0,58.41,1.06,4.25,2.12,11.68,1.06,0,0,0,1.06,0,0,0,18.05,0,0,302.68,1.06,7.43,0,0,0,0,32.92,0,0,0,0
 96-106,0,5.46,0,4.37,2.19,39.34,0,2.19,2.19,5.46,3.28,0,0,0,0,0,0,0,17.49,1.09,0,239.33,0,13.11,0,0,2.19,0,15.3,0,0,2.19,0
108-118,0,4.6,0,6.13,1.53,20.68,0,6.13,0.77,3.06,2.3,0,0,2.3,0,0,1.53,0,10.72,0,1.53,307.92,0,4.6,0.77,0,0.77,0,9.96,1.53,0,0,0
120,0,0,0,5.88,0,21.56,0,0,0,7.84,0,0,0,0,0,0,0,0,21.56,0,1.96,244.97,1.96,3.92,0,0,0,0,9.8,0,0,0,0
