stage,axial,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,0,0,0,5,0,0,0,31,0,0,0,0,0,0,4,0,0,1,14,0,6,2,1,0,1,3,51,1,56,0,0
 24-34,0,0.82,0,8.21,4.93,0,0,26.27,0.82,0,0,0,0.82,0.82,3.28,0,0,1.64,45.15,0.82,34.48,2.46,0,0,0,0,45.97,0.82,73.88,0,0
 36-46,0,0,0,0,26.59,0,0.81,20.14,0,0.81,0,0,0,0,0.81,0,0,0,49.15,0,34.64,0.81,0,0,0.81,0,12.09,0,37.87,0,0
 48-58,0,0,0,0,48.2,0,0,15.49,0,0,0,0,0.57,0,4.02,0,0,0.57,36.15,0,16.07,1.72,0,0,0,0,5.16,0,24.67,0,0
 60-70,0,0,0,0,93.24,0,0,8.83,0.98,0,0,0,0,0,1.96,0,0,0.98,40.24,0,21.59,1.96,0,0,0.98,0,4.91,0,10.8,0.98,0
 72-82,0,3.93,0,0,116.82,0,0,10.8,5.89,0,0,0.98,4.91,0,2.94,0,0,0,48.1,0,39.27,1.96,0,0,0,0,3.93,0,10.8,0,0.98
 84-94,0,3.19,0,1.06,77.53,1.06,0,7.43,3.19,0,1.06,0,0,1.06,2.12,1.06,0,1.06,13.81,0,18.05,9.56,0,0,0,0,6.37,0,10.62,0,0
 96-106,0,5.46,0,2.19,44.81,0,0,7.65,9.84,0,0,0,3.28,0,1.09,0,1.09,1.09,18.58,0,49.18,10.93,0,0,0,0,4.37,0,4.37,1.09,0
108-118,0.77,3.83,0.77,2.3,35.23,2.3,0,1.53,2.3,0,0,0,0.77,0,2.3,0,0,0.77,13.79,0.77,24.51,7.66,0,0.77,0,0,3.06,0,0,0.77,0
120,0,1.96,0,1.96,23.52,0,0,0,7.84,0,0,0,3.92,0,1.96,0,1.96,0,21.56,0,21.56,7.84,0,0,0,0,1.96,0,1.96,0,0
