stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,263.56,4348.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.96,0,0,0,0,0,0,0,0,0,0,0
  5-6,134.85,2267.96,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,55.17,0,0,0,0,61.3,0,0,0,0,0,0,0,0,0,0,0
  7-9,26.29,21.03,0,60.46,0,0,89.38,0,0,0,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0,796.5,28.92,0,0,231.33,2.63,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,0,34.62,0,6.29,113.29,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,670.3,44.06,0,0,223.43,3.15,3.15,0,18.88,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,1,17,3,8,0,0,0,4,1,0,2,0,1,0,0,0,0,4,0,0,5,76,1,0,1,1,0,0,12,2,1,14,33,0,0,0,0,0
 24-34,0,0,0.82,0,4.93,0,20.52,0,0.82,0.82,2.46,1.64,0,0.82,1.64,2.46,0.82,0,0,0.82,23.8,0,0,14.78,148.57,0,0,2.46,0,4.93,0,0,0,0,4.93,23.8,0,0,4.93,0,2.46
 36-46,0,0,0,0,0.81,0,4.83,0.81,1.61,2.42,4.83,0,0.81,0,0.81,1.61,1.61,0,0.81,0.81,20.14,0,0,3.22,80.57,0,0,0.81,0,3.22,0,0,0,0.81,0.81,17.72,0,0,2.42,0,0.81
 48-58,0,0,0,0,1.72,0,16.07,0.57,0.57,0.57,12.05,0.57,0,0,1.15,0.57,0,0.57,0,0,28.69,0,2.3,4.59,40.17,0.57,0,0.57,0,1.72,0,0,0,0.57,0,14.35,0,0,1.72,0,0.57
 60-70,0,0,0,0,5.89,0,12.76,0.98,0,0.98,17.67,0.98,0,0.98,0,0,0,0,1.96,0.98,33.37,0,0,2.94,24.54,0,0,0.98,0,0.98,0,0,0,0,0,1.96,0,0,0,0,0
 72-82,0,0,0,0,7.85,0,9.82,0,0,1.96,14.72,0.98,0,0.98,0.98,0,0.98,1.96,0,0,41.23,1.96,0,3.93,31.41,0.98,2.94,1.96,0,2.94,0,0,0.98,0,0,1.96,0,1.96,5.89,2.94,0
 84-94,0,0,0,0,5.31,0,8.5,0,0,1.06,7.43,2.12,0,0,2.12,5.31,1.06,0,2.12,1.06,28.68,0,1.06,3.19,14.87,0,0,1.06,0,5.31,0,0,0,0,0,0,0,0,2.12,0,0
 96-106,0,0,0,0,3.28,0,5.46,0,0,1.09,9.84,2.19,0,1.09,4.37,4.37,0,0,2.19,0,15.3,1.09,2.19,2.19,12.02,0,0,0,0,1.09,0,0,1.09,0,0,1.09,0,2.19,3.28,0,0
108-118,0,0,0.77,0,4.6,0,7.66,0.77,0.77,0,8.43,2.3,0,0,3.83,2.3,0,0.77,0.77,0,8.43,0,0,0.77,13.79,0,0.77,0.77,0,3.06,0,0,0,0,0,0,0.77,0.77,3.06,0.77,0.77
120,0,0,0,0,3.92,0,3.92,0,0,0,5.88,1.96,0,1.96,1.96,5.88,0,0,0,0,7.84,0,0,0,27.44,0,0,1.96,0,9.8,0,0,0,0,0,1.96,0,0,0,0,0
