stage,blastomeres,endoderm,epidermis,eye,glial,gut,immune,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,spinal_cord,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,0,0,13.14,2.63,7.89,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,12.59,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,2,0,0,1,0
 24-34,0,0,0.82,0,0.82,0,0,0,0,0.82,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.57,0,0,0,0,0.57,0
 60-70,0,0,0,0.98,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0.98,0.98,0,0.98,0,0,0.98,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,1.09,2.19,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0
