stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,7,0,0,1,9,0,0,0,0,0,1,0,1,1,1,6,0,0,1,0,0
 24-34,0,0,0.82,0,0,0,6.57,0,0,0.82,0.82,0,0,1.64,0,0,0.82,0,0,0.82,13.13,0,0,6.57,58.28,0.82,0,1.64,0,0,2.46,0,1.64,0,1.64,16.42,0,0,4.93,0,0
 36-46,0,0,0,8.86,0,0,8.86,0,0.81,0,6.45,0,0,0,0,0,0.81,0,0,0.81,32.23,0,0.81,9.67,80.57,1.61,0,4.03,0,0,4.03,0,1.61,1.61,0,21.75,0,0,5.64,0,1.61
 48-58,0,0,0,3.44,0,0,5.74,0.57,0.57,4.02,9.75,0.57,0,0.57,0.57,0,1.15,0,0.57,0.57,39.02,1.15,1.72,7.46,40.74,0.57,0,1.72,0,0,2.3,0,1.15,0,0,10.9,0,0,2.3,0,2.87
 60-70,0,0.98,0,7.85,0,0,21.59,0.98,3.93,0.98,12.76,0,0,0,3.93,0,3.93,0.98,0.98,0,72.63,0.98,3.93,7.85,60.85,0.98,0.98,1.96,0,0,9.82,0,0,0.98,0,11.78,0,1.96,4.91,0,1.96
 72-82,0,0,0,11.78,0.98,0,84.42,0.98,0,4.91,16.69,1.96,0,0,5.89,0.98,1.96,0,3.93,1.96,128.6,0.98,5.89,10.8,92.28,0,0.98,4.91,0,0,10.8,0,0.98,0,0,11.78,0.98,1.96,7.85,0.98,0.98
 84-94,0,1.06,0,29.74,5.31,2.12,45.67,1.06,4.25,6.37,10.62,6.37,1.06,2.12,9.56,4.25,7.43,1.06,6.37,2.12,73.28,4.25,3.19,13.81,46.73,2.12,0,5.31,0,1.06,22.3,0,0,2.12,0,5.31,1.06,0,7.43,0,0
 96-106,0,0,0,32.79,5.46,2.19,64.48,2.19,4.37,4.37,19.67,4.37,0,0,7.65,3.28,2.19,3.28,7.65,2.19,78.68,1.09,2.19,4.37,59.01,1.09,1.09,13.11,0,1.09,28.41,1.09,0,1.09,0,2.19,1.09,2.19,1.09,6.56,7.65
108-118,0,0,0.77,42.13,4.6,1.53,65.11,0.77,5.36,6.89,16.09,6.89,0,1.53,6.89,5.36,10.72,5.36,3.83,2.3,99.58,1.53,3.06,6.89,58.21,4.6,0.77,8.43,0,0.77,29.11,0,2.3,2.3,0,3.06,6.89,1.53,5.36,3.83,4.6
120,0,1.96,0,43.12,3.92,0,43.12,1.96,9.8,5.88,15.68,7.84,0,0,15.68,5.88,1.96,5.88,1.96,1.96,74.47,3.92,7.84,9.8,54.87,0,1.96,9.8,0,0,27.44,0,1.96,0,0,3.92,3.92,1.96,11.76,0,3.92
