stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,4,5,3,0,0,3,0,1,1,0,0,0,0,2,1,5,0,0,6,66,3,0,1,1,0,3,2,1,4,18,0,0,0,0,1
 24-34,0,1.64,7.39,1.64,11.49,0.82,0,6.57,0.82,0,0.82,0,1.64,0.82,0,6.57,4.1,18.06,0.82,0.82,8.21,137.9,8.21,4.1,0.82,0,0,13.95,0,0,1.64,39.4,0,0,12.31,0,4.93
 36-46,0,0,0,1.61,15.31,0,0.81,6.45,0,0,0.81,0.81,0.81,3.22,0,0.81,3.22,24.98,0,0.81,7.25,196.58,8.06,4.03,0,0,0,9.67,0,0.81,0,62.04,0,0,12.09,0,3.22
 48-58,0,0,0.57,0,26.4,0.57,2.3,4.59,0.57,0,1.15,0,0,0.57,0,0,1.72,20.08,0.57,0.57,5.74,106.15,2.87,2.87,0.57,0,0,2.3,0,0,0,25.25,0,0,2.87,0,7.46
 60-70,0,0,1.96,1.96,68.71,0,0.98,21.59,0.98,0.98,0.98,0.98,0,2.94,1.96,0.98,0,53,0,2.94,4.91,196.3,3.93,2.94,2.94,0,1.96,6.87,0,0.98,0,33.37,0,0,3.93,0,6.87
 72-82,0,0,2.94,6.87,38.28,0,4.91,17.67,0,0.98,0.98,0.98,0.98,4.91,0,0,0,53.01,2.94,3.93,5.89,121.73,1.96,0,1.96,0,0.98,3.93,0,0.98,0,15.71,0.98,1.96,13.74,3.93,3.93
 84-94,1.06,0,6.37,5.31,55.23,3.19,3.19,19.12,2.12,0,0,4.25,1.06,3.19,1.06,1.06,2.12,45.67,1.06,0,4.25,62.66,5.31,2.12,3.19,0,1.06,13.81,0,3.19,0,15.93,0,1.06,9.56,0,14.87
 96-106,1.09,0,6.56,1.09,17.49,1.09,1.09,14.21,2.19,0,2.19,5.46,1.09,4.37,1.09,0,0,36.06,0,2.19,4.37,53.55,1.09,1.09,2.19,0,1.09,13.11,0,0,0,8.74,0,2.19,4.37,1.09,5.46
108-118,0.77,0,8.43,4.6,19.92,2.3,0.77,12.26,3.83,0,0,1.53,3.06,9.19,0,0,3.83,32.94,0.77,1.53,1.53,57.45,3.06,0.77,2.3,0,1.53,9.96,0,1.53,0,0,0,0.77,5.36,2.3,7.66
120,0,1.96,3.92,5.88,15.68,3.92,0,13.72,0,0,0,3.92,0,1.96,1.96,0,0,11.76,0,1.96,0,45.08,3.92,3.92,7.84,0,0,7.84,0,0,0,5.88,0,0,7.84,0,0
