stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,3.15,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,6.29,3.15,0,28.32,0,0,0,0,0,0
 14-21,0,0,110,0,1,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,2,0,0,0,0,55,1,2,0,3,1,0,0,0
 24-34,0,0,91.12,0,0.82,0,1.64,0,0,0,0,0,0,0,0,0,2.46,0.82,0,1.64,8.21,0,0,0,0,108.35,0,0,0.82,0.82,0,0,0,0
 36-46,0,0,36.26,0,0.81,0,0.81,0,0,0,0,0.81,0,1.61,0,0,5.64,0.81,0,4.03,13.7,0,0,0,0,63.65,0,0.81,0,0,0.81,0,0,0
 48-58,0,0,57.95,0,4.59,2.3,1.72,0,1.72,0,0,0,0,1.72,0.57,0.57,4.59,1.15,0,27.54,9.75,0,0,0,0,65.99,0,0,0,0,7.46,0,0,0.57
 60-70,0,0,99.13,0,4.91,12.76,0.98,0,0,0,0,0,0,2.94,0,0,3.93,0,0,12.76,5.89,0,0,0.98,0,68.71,0,0,0,0,9.82,0.98,0.98,0
 72-82,0,0,170.81,0,14.72,6.87,1.96,0,1.96,0.98,0,9.82,0,2.94,0,0,7.85,2.94,0.98,20.61,25.52,0,0,0,0,124.67,0,0,0,0,3.93,0,0,0
 84-94,0,0,301.62,2.12,10.62,10.62,9.56,0,1.06,5.31,0,14.87,1.06,3.19,0,0,8.5,4.25,0,9.56,19.12,0,0,0,0,337.73,0,0,1.06,0,2.12,5.31,2.12,0
 96-106,0,0,386.87,0,7.65,6.56,24.04,0,5.46,22.95,1.09,16.39,0,2.19,2.19,0,12.02,14.21,1.09,3.28,24.04,1.09,3.28,0,0,369.38,0,0,1.09,0,3.28,1.09,0,1.09
108-118,0,0,312.51,1.53,3.06,10.72,22.98,0.77,0.77,24.51,0,15.32,0,3.06,0,0,5.36,13.02,0.77,3.83,20.68,0,0,1.53,0,321.7,0,0.77,0,0,3.83,4.6,0,0
120,0,0,225.38,0,3.92,11.76,19.6,0,0,7.84,0,5.88,0,1.96,0,0,5.88,11.76,0,5.88,13.72,0,0,0,0,262.61,0,0,0,0,1.96,7.84,0,0
