stage,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,9.03,0,2.46,0,0.82,0,0,0.82
 36-46,0,0,0,0,0,0.81,0,0.81,0,0,0,0,10.47,0,0,0,0,0,0,1.61
 48-58,0,0.57,0,0.57,0,0,0,0,0,0,0,1.15,3.44,0,2.3,0,0,0,0,1.72
 60-70,0,0,0.98,0,0.98,1.96,0,0,2.94,2.94,0,4.91,6.87,0,0,0,0.98,0.98,0,0.98
 72-82,0,0,2.94,1.96,0,0.98,0,0,0.98,3.93,0,1.96,0,0,5.89,0,0,0,0,0
 84-94,0,0,2.12,2.12,0,0,1.06,0,1.06,3.19,1.06,3.19,2.12,0,10.62,0,0,0,0,0
 96-106,0,1.09,0,3.28,0,1.09,0,0,5.46,1.09,0,2.19,4.37,1.09,8.74,0,0,0,0,0
108-118,0,0.77,0,0.77,0,1.53,2.3,0,3.83,1.53,0,0.77,3.83,0,9.96,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,1.96,1.96,0,0,1.96,0,1.96,0,0,0,0,0
