stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,214.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,25.78,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,2.42,0,0,0,0,0,0,0,1.61,0,0,0,0,0
 48-58,0,0,0,1.15,0,0,240.42,0,0,0,1.15,0,0,0.57,0,0,0,0,1.15,0,0,0.57,9.18,0,0,0,0,0,0,0,1.15,0,0,0.57,0,0
 60-70,0.98,0,0,0.98,0,0,1128.75,0.98,0,0.98,3.93,0,0,1.96,0,0,0,0,0.98,0,0.98,1.96,23.56,0,0.98,0,0,0.98,0,0,2.94,0,0.98,0,0,2.94
 72-82,0,0,0,4.91,2.94,0,1524.52,0,0,2.94,17.67,0.98,0,6.87,0.98,0.98,0,0.98,14.72,0.98,0.98,0.98,72.64,0,0,0.98,0,0,0.98,0,2.94,0.98,0,4.91,1.96,0.98
 84-94,0,0,0,4.25,1.06,0,1241.52,1.06,0,0,31.86,0,0,5.31,0,0,1.06,0,15.93,0,2.12,1.06,60.54,0,0,2.12,0,3.19,0,1.06,3.19,0,5.31,0,0,0
 96-106,0,0,0,8.74,2.19,0,1055.69,0,5.46,0,13.11,1.09,1.09,12.02,0,2.19,0,1.09,18.58,1.09,0,0,45.9,0,0,0,0,4.37,0,0,1.09,0,1.09,2.19,1.09,0
108-118,0,0,0,3.83,2.3,0.77,751.41,0.77,0,1.53,7.66,0,0,6.89,0,0.77,0,1.53,7.66,0.77,0,2.3,36.77,0,0.77,0,0,3.83,0.77,0,1.53,0.77,0.77,0,0,0
120,0,0,1.96,3.92,5.88,0,546.78,0,1.96,0,9.8,1.96,0,3.92,0,0,0,0,5.88,0,0,0,35.28,3.92,0,0,0,0,0,0,1.96,0,0,0,0,1.96
