stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,2.63,0,0,5.26,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,78.86,2.63,0,0,49.95,2.63,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,12.59,0,0,9.44,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,122.73,6.29,0,0,97.56,0,0,3.15,9.44,0,0,0,0,0,0,0
 14-21,0,0,1,14,2,4,1,0,3,2,2,0,0,1,0,0,0,0,5,0,3,98,5,1,0,9,0,0,18,4,0,14,46,0,1,0,0
 24-34,0,0,0.82,4.93,0,7.39,0,0.82,2.46,0.82,0,1.64,0,0.82,0,0,0.82,0.82,11.49,0,8.21,125.59,2.46,4.1,6.57,0,0,0,0,4.93,0.82,4.1,60.74,0,0.82,0,0.82
 36-46,0,0,0,0.81,0,17.72,1.61,0.81,1.61,0,0,0,0,0,0,0,0,1.61,8.86,0,0,96.68,0.81,1.61,0.81,0,0.81,0,0,2.42,0,0,29,0,0,0,0
 48-58,0,0,0,0.57,0,18.94,0.57,0,6.31,0,0,1.15,0,0,0.57,0,0,2.3,9.18,0.57,2.87,49.35,1.15,0,0.57,0,0.57,0,0,0,0,0,14.92,0,0,0,2.87
 60-70,0,0,0,0,0,15.7,0.98,3.93,24.54,0,0,0,0,0,0.98,0,0,1.96,20.61,0.98,0.98,52.02,0,0,0.98,0,0,0,0,0,0,0,11.78,0,0,0,0
 72-82,0,0,0,1.96,0,23.56,0,1.96,53.01,0.98,0.98,0,0.98,0.98,1.96,0.98,0,1.96,17.67,0.98,0.98,27.49,0.98,0.98,4.91,0,0,0,0,0,0,0,2.94,0,0.98,1.96,2.94
 84-94,0,0,0,1.06,0,16.99,0,2.12,40.36,1.06,1.06,0,0,1.06,3.19,0,0,2.12,21.24,0,3.19,19.12,0,1.06,3.19,0,1.06,0,0,1.06,0,0,7.43,1.06,1.06,1.06,0
 96-106,0,0,0,0,0,20.76,0,1.09,44.81,1.09,0,0,0,0,0,2.19,0,2.19,16.39,0,1.09,17.49,0,1.09,4.37,0,0,0,0,0,0,0,3.28,1.09,1.09,0,0
108-118,0,0,0,0.77,0,13.79,0,2.3,36,0.77,0,0,0,2.3,2.3,2.3,0.77,2.3,13.79,0.77,1.53,23.74,0,0,0.77,0,0,0,0,0,0,0,4.6,0.77,2.3,1.53,6.13
120,0,0,0,0,0,17.64,1.96,1.96,21.56,0,0,0,0,3.92,0,0,0,1.96,11.76,0,3.92,13.72,1.96,0,7.84,0,1.96,0,0,0,0,0,0,0,0,1.96,3.92
