stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,visceral_smooth_muscle,xanthophores
 14-21,0,197,0,0,0,0,0,0,0,2,0,1,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0
 24-34,0.82,396.47,0,0,1.64,25.45,0,0.82,0,0,0,0,0,3.28,2.46,0.82,15.6,0.82,7.39,0,1.64,0,0,0,1.64,0,0,0
 36-46,0,256.2,0,0,1.61,37.06,0,0,0,0,0.81,0.81,0,1.61,3.22,0,12.09,0,8.06,0,1.61,1.61,0,0,4.03,0,0,0
 48-58,0,226.65,0,0,6.31,68.28,0.57,1.72,0,0,0,0,0,1.15,3.44,0,12.62,0,11.48,0.57,2.3,0.57,0,0,1.72,0,0,0
 60-70,0,244.4,0,0,10.8,62.82,0,0.98,0,0,0,0.98,0,1.96,5.89,0.98,8.83,0,13.74,0.98,0.98,0,0,0,0.98,0,0,0
 72-82,0,333.77,0.98,0,18.65,85.4,0,1.96,0,0,0,0,0,3.93,4.91,0.98,18.65,0,28.47,0,2.94,0,0,0.98,0,0,0,0.98
 84-94,0,683.95,0,0,15.93,185.86,0,0,0,0,0,0,1.06,3.19,5.31,0,3.19,0,23.36,1.06,1.06,0,0,0,1.06,1.06,2.12,0
 96-106,0,819.64,3.28,0,8.74,183.6,0,0,2.19,0,0,2.19,0,12.02,8.74,2.19,19.67,0,48.09,2.19,4.37,0,0,1.09,0,1.09,1.09,0
108-118,0,648.77,0,0.77,9.19,229.02,0,2.3,2.3,0,0,0.77,0,7.66,6.13,0,13.02,0,26.04,0.77,3.06,0.77,0.77,0,0,1.53,0,0
120,0,380.2,0,0,0,145.02,0,1.96,3.92,0,0,0,1.96,3.92,3.92,1.96,17.64,0,21.56,3.92,0,0,1.96,0,0,0,0,0
