stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,39.53,329.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,13.14,0,10.51,0,0,5.26,0,0,0,0,0,0,0,0,47.32,5.26,0,28.92,2.63,2.63,0,0,0,0,0,0,0
 10-12,0,6.29,0,18.88,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,84.97,0,0,40.91,0,0,3.15,18.88,0,0,0,0,0
 14-21,0,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,0,0,2,0,1,2,0,0,0
 24-34,0,0,0,0,0.82,1.64,0,0.82,0,0,0,0,0,0.82,0,0,0,16.42,0,0,0,2.46,0,0,0,0,7.39,0,0.82,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0.81,0,0,0.81,6.45,0,0,0,2.42,0,0,0.81,0,3.22,0,0,0
 48-58,0,0,0,0,0,0.57,1.15,0,0,0,0,0,0,1.72,0.57,0.57,0,1.72,0,0,0,4.59,0,0,0,0,0.57,0,0,0.57
 60-70,0,0,0,0,1.96,0,0.98,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0,8.83,0,0,0,0,0,0,0.98,0
 72-82,0,0,0.98,0,0,1.96,0.98,0,0,0.98,0,0,0,3.93,0,0,0,1.96,0,0,0,3.93,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.12,0,0,0,0,0,0,0,0,1.06,0,1.06,0,0,0,1.06,0,12.74,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,2.19,1.09,1.09,0,0,0,0,2.19,0,0,1.09,0,1.09,0,0,0,15.3,0,0,0,0,0,1.09,1.09,0
108-118,0,0,0,0,0.77,0,0,0.77,0,0,0.77,0,0.77,3.06,0,0.77,0,3.06,0,0,0,8.43,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,1.96,0,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0,0,1.96,0,0,1.96,0,0,0,0,0
