stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,42,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,6.57,1.64,2.46,0,0,18.88,0,0,0.82,0.82,0,0,0.82,0,0.82,0,758.47,0,1.64,270.88,77.98,1.64,0.82,0,0,0,2.46,0,3.28,8.21,0,0,4.93,0,0.82
 36-46,0,0,0,0,2.42,0,8.06,0,0,70.9,2.42,0,0,0.81,0,0,0.81,0.81,0,0,1094.1,0,10.47,290.85,89.43,0.81,0.81,0.81,0,0,2.42,0,0,11.28,0,0,0.81,0,0
 48-58,0,0,0,0,4.02,1.72,41.31,0,1.15,74.02,5.16,0,0,2.3,0,0,2.3,0,1.15,0.57,1634.2,0.57,18.94,189.93,126.81,2.87,0.57,0,0,0.57,1.72,0,0,10.9,0,3.44,0.57,0.57,2.87
 60-70,0,0,0,0,3.93,3.93,37.3,0.98,9.82,72.63,5.89,0,0,0.98,0.98,0.98,0.98,0,0.98,0,1877.65,0,23.56,111.89,97.17,0.98,0.98,0.98,0,2.94,4.91,0,0,6.87,0,17.67,0.98,5.89,0.98
 72-82,0,0,0,0,9.82,3.93,126.63,0.98,2.94,132.52,16.69,2.94,0,0.98,2.94,0,0.98,0,0,0,2776.14,0.98,21.6,169.83,108.96,6.87,0.98,1.96,0,5.89,0.98,0,0,2.94,0.98,32.39,2.94,29.45,0.98
 84-94,1.06,0,0,0,16.99,1.06,165.68,2.12,5.31,95.58,19.12,0,0,2.12,1.06,1.06,4.25,2.12,1.06,0,1866,0,33.99,83.9,52.04,4.25,1.06,3.19,0,2.12,4.25,1.06,0,5.31,0,31.86,4.25,22.3,0
 96-106,0,0,1.09,0,17.49,2.19,103.82,1.09,2.19,65.57,17.49,0,0,0,5.46,0,3.28,1.09,0,0,1591.18,3.28,17.49,80.87,76.5,5.46,0,1.09,0,5.46,6.56,0,0,0,0,15.3,3.28,20.76,1.09
108-118,0,0,0,0.77,9.96,0.77,45.19,0,3.06,67.4,7.66,1.53,0,0.77,3.06,0,0.77,0,1.53,0,1597.03,1.53,13.79,55.92,72.77,0,0.77,0.77,0,10.72,3.83,0,0,3.06,0,16.09,3.06,14.55,0
120,0,0,0,0,9.8,1.96,52.91,0,1.96,56.83,3.92,3.92,0,0,1.96,0,1.96,0,7.84,0,1107.28,1.96,7.84,48.99,62.71,0,0,1.96,0,7.84,0,0,0,1.96,1.96,15.68,0,9.8,0
