stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,taste,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,13,0,0,0
 24-34,0,0,0.82,0.82,0,3.28,0,0,0,8.21,0,0,0,0,0,0,0,0,0,4.93,0,254.47,0,0,0,0.82,2.46,84.55,0,0.82,0
 36-46,0,0,0.81,0,0,7.25,0,0,0,19.34,0,0,0.81,0,0,0,0,0,0,1.61,0,595.39,0,0.81,0,0,1.61,95.07,0,0,0
 48-58,0,0,1.72,0,0,32.71,0,0,0,24.67,0,0,0,0,0,0,0,0,0,5.16,0,795.29,0,0.57,0.57,0,0,126.81,0,0,0
 60-70,0,0.98,0,0,0,46.13,0,0.98,0.98,19.63,0,0.98,0,0,0,0.98,0,0,0,11.78,0,1176.84,0,0,0,0,1.96,161.95,0,0.98,0
 72-82,0,0.98,4.91,1.96,0,92.28,0.98,0,0.98,36.32,1.96,0,0,0,0,0,0,0.98,0,6.87,0.98,876.62,0,1.96,0,0.98,2.94,75.59,0,0,0.98
 84-94,0,0,5.31,0,0,75.4,0,0,0,29.74,0,0,0,0,0,1.06,1.06,0,1.06,14.87,0,424.81,0,1.06,2.12,2.12,1.06,37.17,1.06,0,0
 96-106,0,1.09,4.37,1.09,0,53.55,2.19,1.09,1.09,16.39,0,0,1.09,0,0,0,0,0,0,5.46,1.09,309.28,0,1.09,1.09,0,1.09,17.49,0,0,0
108-118,0,0,1.53,0.77,0.77,22.21,0.77,0,0.77,17.62,0,0,0,0,0.77,0,0.77,0,0,5.36,0.77,330.13,0.77,0.77,0,0.77,0.77,6.89,0,0,0
120,0,0,1.96,0,0,19.6,0,0,0,9.8,1.96,0,0,1.96,0,0,0,0,0,5.88,0,335.12,0,0,0,0,3.92,17.64,0,3.92,0
