stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,214.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,55.17,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,26.29,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,155.09,0,0,0,44.69,0,21.03,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,18.88,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330.43,9.44,0,0,97.56,0,9.44,3.15,0,6.29,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,1,20,2,1,0,0,0,2,2,0,0,0,1,0,0,0,7,0,0,1,17,1,0,1,1,0,16,0,2,1,8,10,0,0,1,0,0
 24-34,0,0,0,0.82,4.93,0,0.82,0.82,0,0,0.82,0,0,0,0,0.82,0,0.82,0,2.46,0,0,0.82,21.34,0,2.46,0,0,0.82,61.56,0,0,0,0,7.39,0,0,1.64,0,0
 36-46,0,0,0,0,1.61,0,2.42,0,0,0,0.81,0,0,0,0,0.81,0.81,0,0,0,0.81,0,0.81,12.09,0,4.03,0,0,0,107.15,0,0,0,0,2.42,0,0,1.61,0,0
 48-58,0,0,0,0,3.44,0,10.33,0,1.15,0.57,4.59,0.57,0,0.57,0.57,0,0.57,0,0,12.62,1.15,0.57,1.15,37.87,0,0.57,0.57,0,0,65.41,0,0,0,0,6.31,0,0,0,0,0
 60-70,0,0,0,0,6.87,0.98,9.82,0,1.96,0.98,3.93,0,0,0,0.98,0.98,0.98,0,0.98,7.85,0,0,0.98,5.89,0,0.98,0,0,0,61.84,0,0,0,0,0.98,0,0.98,0,0,0
 72-82,0,0,0,0,6.87,1.96,5.89,0,0,0,0,0.98,0,0,0,1.96,1.96,0,0,5.89,1.96,0,0,15.71,0,0.98,1.96,0,0,107,0,0,0,0,0.98,0.98,0,0,0.98,0
 84-94,0,0,0,0,13.81,0,11.68,0,4.25,1.06,5.31,1.06,0,0,0,3.19,1.06,0,0,12.74,2.12,0,0,4.25,0,0,0,0,0,407.82,0,0,0,0,4.25,2.12,0,1.06,0,0
 96-106,0,0,0,0,29.51,0,1.09,0,2.19,0,1.09,3.28,0,0,1.09,7.65,1.09,0,0,2.19,4.37,0,0,5.46,0,1.09,1.09,0,0,297.25,0,0,0,0,0,0,0,2.19,1.09,1.09
108-118,0,0,0.77,0,26.04,0,7.66,1.53,3.06,0.77,0.77,0,0,0.77,3.06,6.13,3.06,0,0,12.26,0.77,0.77,0.77,16.09,0,0,1.53,0,0,197.62,0,0,0,0,0.77,0,0,3.06,0,0.77
120,0,0,0,0,27.44,0,1.96,0,23.52,0,3.92,1.96,0,0,7.84,1.96,3.92,0,0,7.84,1.96,0,1.96,29.4,0,1.96,0,0,0,225.38,0,0,0,0,0,0,0,1.96,0,0
