stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,pronephros,spinal_cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,2,0,3
 24-34,0,0.82,0,0,0,0,0,0,0.82,0,0,0,0,1.64,0,0,7.39,1.64,0,0.82,0,0,1.64
 36-46,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,6.45,0,0,2.42,0,0.81,0
 48-58,0,0,0,2.87,0,0.57,0.57,0,0,0,0,0,0,0,0,0,6.89,0,0,1.15,0,0,1.15
 60-70,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0.98,0,0,4.91,0,0,3.93,0,0,0
 72-82,0,0.98,0,2.94,0,0,0.98,0,0,0,0,0,0,0,0,0,4.91,0.98,0,4.91,0,0,0
 84-94,0,1.06,0,2.12,0,0,2.12,1.06,0,0,0,0,0,0,1.06,0,2.12,0,0,62.66,0,0,1.06
 96-106,0,5.46,1.09,1.09,0,0,1.09,0,1.09,0,1.09,0,0,0,0,0,2.19,0,0,54.64,0,0,0
108-118,0,2.3,0,1.53,1.53,0,0.77,0,0,0.77,0.77,0.77,0.77,0,0.77,0.77,6.13,0,0.77,45.19,0,0,0
120,0,7.84,0,1.96,1.96,0,5.88,3.92,0,0,0,0,0,0,1.96,0,0,0,0,72.51,0,0,0
