stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,312.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,18.4,0,13.14,0,0,0,28.92,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,328.59,13.14,0,0,102.52,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,37.76,0,0,0,56.65,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,371.34,12.59,0,0,88.12,0,3.15,0,6.29,0,3.15,0,0,0,0,0,0
 14-21,1,0,0,15,65,9,0,17,0,0,0,6,15,0,5,0,3,1,0,10,2,33,0,0,42,198,10,0,0,6,0,22,34,5,11,56,72,0,0,0,0,0
 24-34,0,0,0,22.16,36.12,0,0,19.7,0.82,0,0,5.75,10.67,0,5.75,0.82,2.46,0,1.64,12.31,0.82,61.56,2.46,0,41.04,161.71,9.03,0.82,4.1,0,0,44.33,0,18.88,4.93,11.49,68.95,0,0,9.03,0,0
 36-46,0,0,0,3.22,12.09,0,0,14.5,4.03,1.61,3.22,12.89,5.64,0,4.03,0,1.61,0.81,1.61,4.83,0.81,70.09,0.81,0,18.53,87.01,9.67,2.42,1.61,0,0,29,0,10.47,1.61,0.81,37.87,0,0.81,6.45,0,2.42
 48-58,0,0,0,2.87,9.18,1.15,0,23.53,5.16,4.02,4.02,24.1,4.59,1.72,2.3,0,0,0,1.72,1.72,1.72,93.53,1.15,2.3,19.51,46.48,1.72,0,1.15,0,0,12.62,0,1.72,0,0,24.1,0,1.72,2.3,0,3.44
 60-70,0,0,0,0,15.7,1.96,0,18.65,1.96,4.91,10.8,32.39,3.93,0.98,0.98,0,1.96,0.98,1.96,5.89,0.98,106.99,0.98,1.96,7.85,22.58,1.96,0.98,1.96,0,0,8.83,0,0,1.96,0,13.74,0,0.98,2.94,0.98,2.94
 72-82,0,0,0.98,0,12.76,2.94,0,28.47,1.96,2.94,4.91,56.94,11.78,0.98,2.94,0.98,1.96,1.96,1.96,14.72,0,149.21,0.98,2.94,7.85,24.54,0.98,0,1.96,0.98,0,5.89,0,4.91,0,0,1.96,0,1.96,9.82,2.94,2.94
 84-94,0,0,2.12,0,21.24,2.12,1.06,24.43,1.06,11.68,7.43,37.17,12.74,1.06,2.12,1.06,5.31,3.19,1.06,55.23,1.06,87.09,2.12,7.43,9.56,26.55,4.25,1.06,1.06,0,2.12,18.05,0,18.05,0,0,7.43,0,2.12,5.31,2.12,1.06
 96-106,0,0,0,0,22.95,1.09,1.09,22.95,4.37,4.37,4.37,34.97,17.49,1.09,5.46,3.28,6.56,6.56,3.28,45.9,0,93.98,3.28,7.65,3.28,25.14,3.28,1.09,0,0,1.09,18.58,0,10.93,0,0,4.37,0,4.37,5.46,8.74,3.28
108-118,0,0,0.77,0,22.21,1.53,1.53,36,0,6.13,5.36,42.13,19.15,0,3.06,1.53,1.53,6.13,0.77,106.47,0.77,94.21,1.53,3.06,8.43,18.38,3.06,0,6.13,0,1.53,8.43,0,9.19,1.53,0,3.06,1.53,2.3,3.83,1.53,7.66
120,0,0,0,1.96,43.12,5.88,1.96,23.52,1.96,7.84,15.68,35.28,21.56,0,1.96,0,0,1.96,0,52.91,1.96,82.31,1.96,11.76,13.72,33.32,0,0,1.96,0,3.92,11.76,0,9.8,0,0,5.88,0,1.96,1.96,3.92,1.96
