stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,4,0,0
 24-34,0,0,0,10.67,0,0,0,0,0,0,0,0.82,0.82,0,0,0,1.64,0,0,1.64,2.46,0,0,0.82,0,2.46,0.82,0.82,0.82,0
 36-46,0,0,0,6.45,1.61,0,1.61,0.81,0,0,0,0.81,0,0,0,0,8.06,0.81,0,0.81,15.31,0,0,0.81,0,3.22,0,4.03,0.81,0
 48-58,0,0,0,2.3,4.02,0,2.3,0,1.72,0,0,1.15,0,0,0.57,1.15,4.59,0,0,1.72,8.61,0,0.57,0.57,0,2.87,0,1.72,0,0
 60-70,0,0,0,8.83,2.94,0,4.91,0,0,0,0,5.89,0.98,0,0,0,4.91,0,0,0,3.93,0,0.98,0,0,1.96,0,0,0,0
 72-82,0,0,0,14.72,2.94,0,6.87,0,0.98,0,0,5.89,0.98,0,0,0.98,11.78,0,0,0,5.89,0,0.98,0.98,0,0,0,0,0,0.98
 84-94,0,0,0,24.43,3.19,0,7.43,0,1.06,3.19,0,7.43,2.12,1.06,0,2.12,5.31,0,1.06,1.06,3.19,0,0,0,0,3.19,0,0,0,0
 96-106,0,0,0,24.04,6.56,1.09,5.46,0,1.09,1.09,0,6.56,0,2.19,1.09,2.19,7.65,0,0,1.09,2.19,0,1.09,0,0,6.56,0,0,1.09,0
108-118,0,0,0.77,26.81,1.53,0.77,14.55,0,0.77,1.53,0,9.19,0,1.53,0,1.53,2.3,0.77,0,0.77,3.06,0,0,1.53,0,6.89,0,0.77,0,0
120,0,0,0,25.48,1.96,0,1.96,0,0,3.92,0,9.8,0,0,0,0,3.92,0,0,0,9.8,0,0,1.96,0,15.68,0,0,0,0
