stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,3.15,0,0,295.82,0,0,3.15,22.03,0,0,0,0,0,0,0,0
 14-21,1,0,0,154,55,3,0,0,0,35,14,0,1,0,0,31,0,0,21,58,36,0,0,236,0,0,739,1,3,199,476,0,0,6,0,0
 24-34,0,0,0,61.56,4.1,2.46,0,8.21,7.39,59.1,13.13,0,0,0,0,52.53,0,0,68.13,38.58,15.6,0,0,0,0,0.82,1.64,0,1.64,100.14,332.45,0,0,18.06,0,0.82
 36-46,0,0,0,12.09,0,2.42,1.61,4.83,12.89,29,4.03,0,0,0,1.61,74.12,2.42,1.61,72.51,32.23,8.86,0.81,0,0,0,0.81,2.42,0,4.03,0.81,358.52,0,0,11.28,0,0.81
 48-58,0,0,0,5.16,0,9.18,0,5.16,15.49,18.36,1.15,0.57,0,0,0,78.04,0.57,2.87,47.05,32.13,5.16,0,0,0,0,0.57,0,0,1.15,0,344.28,0,0,4.59,1.72,0
 60-70,0,0,0,5.89,0,5.89,2.94,2.94,13.74,20.61,3.93,0,0,0,0,71.65,1.96,10.8,30.43,31.41,1.96,0,0.98,0,0,0,0,0,0.98,0,284.64,0,0.98,4.91,3.93,0
 72-82,0,0.98,0,3.93,0,12.76,0.98,1.96,14.72,44.17,4.91,0,0.98,0,0,72.64,0.98,14.72,24.54,27.49,7.85,0.98,0,0,0.98,0,0,0,0.98,0,133.51,0.98,0.98,5.89,15.71,0
 84-94,0,0,0,14.87,0,18.05,0,8.5,23.36,38.23,12.74,0,1.06,1.06,0,58.41,0,11.68,33.99,18.05,2.12,0,0,0,2.12,0,0,1.06,0,0,106.2,0,1.06,12.74,8.5,0
 96-106,0,1.09,0,8.74,1.09,10.93,0,7.65,17.49,19.67,8.74,0,0,0,0,44.81,0,14.21,22.95,17.49,4.37,0,0,0,1.09,1.09,0,0,0,0,36.06,0,0,10.93,13.11,0
108-118,0,1.53,0.77,10.72,0.77,6.89,1.53,5.36,9.19,18.38,9.19,0,0,0,1.53,33.7,0,8.43,22.98,16.09,1.53,0,0,0,1.53,0,0,0,0,0,19.92,0,0,11.49,5.36,2.3
120,0,0,0,19.6,0,3.92,1.96,3.92,9.8,13.72,15.68,0,0,0,1.96,21.56,0,11.76,17.64,11.76,3.92,0,1.96,0,0,0,0,0,0,0,5.88,0,0,13.72,9.8,1.96
