stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,9.44,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,14,4,0,2,0,2,0,0,4,0,0,0,7,0,0,0,0,1,8,0,1,25,1,0,0,1,0,516,3,2,0,5,5,0,0,0,0,0
 24-34,0,0,0.82,39.4,1.64,0,31.19,0,43.51,0.82,2.46,5.75,3.28,0,1.64,69.77,0,1.64,1.64,4.93,23.8,64.03,0.82,14.78,295.51,4.1,30.37,1.64,0,0.82,1800.96,0,3.28,4.1,1.64,45.97,0,0,9.03,0,0
 36-46,0,0,0,36.26,0,0,37.06,1.61,61.23,0,3.22,4.03,1.61,2.42,1.61,20.95,0,0,0.81,13.7,14.5,49.15,0.81,11.28,210.28,2.42,29,0.81,0,0,1990,0,1.61,0,0.81,33.03,0,0,4.83,0,0.81
 48-58,0,0,1.15,52.22,0,0,63.69,0,72.3,0.57,14.92,4.02,0.57,0.57,1.72,9.18,0,0.57,0,26.97,36.15,34.43,1.15,4.59,153.21,1.72,18.94,0.57,0,0.57,1598.05,0,0.57,0.57,0,35.58,0,0,5.16,0,2.87
 60-70,0,0,0,113.86,0,0,56.93,0,59.87,3.93,8.83,18.65,0.98,1.96,1.96,8.83,1.96,0.98,0.98,15.7,16.69,19.63,0.98,4.91,68.71,0,14.72,2.94,0,0,1446.76,0,0,0,0,13.74,7.85,0,1.96,0.98,3.93
 72-82,0,0,0,221.86,5.89,0,53.99,0,61.84,2.94,19.63,66.75,0.98,2.94,0,28.47,0.98,2.94,0,17.67,54.97,36.32,2.94,5.89,129.58,1.96,20.61,2.94,0,0,1431.26,0,0.98,1.96,0,7.85,37.3,0,7.85,1.96,4.91
 84-94,0,0,0,442.87,9.56,0,38.23,1.06,165.68,0,5.31,159.31,0,0,5.31,74.34,1.06,1.06,2.12,39.3,43.54,44.61,0,0,64.78,0,56.29,2.12,0,1.06,3867.94,0,4.25,0,0,5.31,125.32,0,2.12,0,10.62
 96-106,0,2.19,0,673.19,17.49,3.28,76.5,0,183.6,3.28,32.79,254.63,0,3.28,24.04,95.08,4.37,14.21,4.37,26.23,80.87,57.92,1.09,5.46,178.13,1.09,68.85,0,0,0,3698.19,0,3.28,1.09,0,3.28,180.32,1.09,6.56,5.46,14.21
108-118,0,0.77,0.77,853.28,8.43,3.06,52.85,1.53,346.22,6.89,14.55,302.56,0,2.3,9.96,124.09,5.36,3.06,6.89,46.72,91.15,78.13,0.77,6.13,147.83,3.06,39.06,2.3,0,1.53,4295.52,0,2.3,0.77,0,3.06,194.55,0.77,6.89,4.6,38.3
120,0,0,0,644.77,5.88,0,37.24,0,209.7,0,21.56,129.35,0,1.96,3.92,62.71,1.96,0,3.92,15.68,43.12,50.95,0,9.8,121.51,0,21.56,3.92,0,1.96,2388.98,0,0,0,0,3.92,72.51,3.92,3.92,0,15.68
