stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
 24-34,0.82,0.82,2.46,0,0,0,0,0.82,0.82,0,0,0.82,0.82,0.82,2.46,20.52,0,0,0,0,0,4.93,0,0.82
 36-46,0,0,4.83,0.81,0,0,0,0,0,0,0,0,0,0.81,0.81,13.7,0.81,0,0,0,0,6.45,0,0
 48-58,0,0,5.16,0,0,0,0,0,0,0,0,0,0,4.02,1.72,11.48,0,0.57,0,0,0,2.87,0,0.57
 60-70,0,0,14.72,0,0.98,0,0.98,0.98,0,0.98,0,0,0,1.96,0.98,8.83,0,0,0,0,0,4.91,0,0
 72-82,0.98,0,9.82,0,0,0,3.93,0,0,0,0,0,0,5.89,0.98,9.82,0,0.98,0,0,0,0,0,0
 84-94,0,0,5.31,0,1.06,0,2.12,0,0,0,0,0,0,4.25,1.06,3.19,0,0,0,0,0,0,0,0
 96-106,0,0,3.28,0,0,0,0,0,0,0,1.09,0,0,2.19,0,6.56,0,0,3.28,0,0,0,1.09,0
108-118,1.53,0,2.3,0,0.77,0.77,1.53,0,0.77,0,0,0,0,5.36,3.06,5.36,0,0.77,0.77,0,0,0,0,0
120,1.96,0,5.88,1.96,0,0,0,0,0,0,0,0,0,1.96,0,7.84,0,0,1.96,1.96,0,0,0,0
