stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.69,7.89,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,5,4,0,1,0,0,1,1,1,0,10,0,0,3,0,0
 24-34,0,0,0,4.93,0,1.64,0,2.46,0,0,0,0,0.82,2.46,1.64,0,0,0,6.57,0.82,0,4.93,13.13,0.82,0.82,0,0,0,7.39,0,0.82,0,2.46,0,0,7.39,0,0
 36-46,0,0,0,3.22,0,2.42,0,0,0,0,0,0,1.61,0.81,0,0,0.81,0,8.06,0.81,0,3.22,12.89,0,3.22,0.81,0,0,4.83,0,0,0,1.61,0,0,5.64,0,0
 48-58,0,0,0,1.72,0,1.15,0,0,1.15,4.02,0,0.57,0.57,1.72,0,0,1.15,0,10.9,0,1.15,2.3,12.05,0.57,1.15,0,0,0.57,1.15,0,0.57,0,2.3,0,0,6.89,0,0.57
 60-70,0,0.98,0,1.96,0,2.94,0,2.94,0,12.76,1.96,0,0.98,6.87,0,0,1.96,0.98,17.67,0,0,2.94,10.8,0,0.98,0,0,0.98,0.98,0,0,0,1.96,0,0.98,6.87,0,0
 72-82,0,2.94,0,5.89,0,9.82,0,0.98,0,19.63,22.58,0,1.96,9.82,0,0,2.94,11.78,37.3,1.96,2.94,1.96,21.6,0,0.98,2.94,0,0.98,0.98,0,0.98,0,1.96,0,0,21.6,0,0
 84-94,0,1.06,0,10.62,0,5.31,0,3.19,0,12.74,35.05,0,0,11.68,0,0,0,54.16,27.61,0,3.19,1.06,6.37,0,5.31,0,0,0,4.25,0,1.06,0,0,0,0,12.74,2.12,0
 96-106,0,2.19,0,7.65,3.28,14.21,0,4.37,1.09,16.39,113.66,0,0,14.21,1.09,1.09,2.19,226.22,26.23,0,4.37,1.09,64.48,0,7.65,2.19,0,1.09,12.02,0,16.39,0,2.19,2.19,0,20.76,2.19,2.19
108-118,0,0,0.77,6.89,0,4.6,0.77,3.06,0.77,13.02,106.47,0,0,11.49,1.53,0.77,1.53,275.75,24.51,0.77,2.3,3.83,34.47,0.77,1.53,2.3,0,3.06,2.3,0,14.55,0,2.3,2.3,0.77,12.26,1.53,0
120,0,0,0,3.92,0,1.96,0,0,0,1.96,54.87,0,0,11.76,1.96,0,1.96,146.98,15.68,0,0,0,25.48,0,1.96,1.96,0,0,1.96,0,3.92,1.96,0,0,0,5.88,0,0
