stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,1,6,4,0,2,0,0,1,0,0,0,0,0,4,0,1,41,0,0,0,1,0,6,0,3,27,0,1,0
 24-34,0,0,0.82,0,0,2.46,0,0,0.82,0,0.82,0,0,0,1.64,0,4.1,128.87,1.64,0,0,0,0,0,0,0,119.02,0,0.82,0
 36-46,0,0,1.61,0,0,7.25,0,0,0,0,0,0,0,0.81,0.81,0.81,0.81,186.92,0,0,0,0,0,0,0,0,130.52,0,1.61,0
 48-58,0,0,1.72,0.57,0,11.48,0,0,1.15,0,0.57,0,0,0,2.87,0,0.57,145.75,0,0,0,0,0.57,0,0,0,72.87,0,0,0
 60-70,0.98,0,0.98,0,0,74.6,0,0,0.98,0.98,0,0,0,0,6.87,0,0,196.3,0,0,0.98,0,0,0,0,0,53,0,0,0
 72-82,0.98,0,1.96,0.98,0,256.21,0,0,16.69,1.96,0,0.98,0.98,0,8.83,1.96,0,202.22,0,0.98,0.98,0,0.98,0,0,0,18.65,0.98,0.98,0
 84-94,0,0,2.12,0,0,143.38,0,0,12.74,0,1.06,0,0,0,3.19,0,0,93.46,0,1.06,1.06,0,1.06,0,1.06,0,14.87,2.12,2.12,1.06
 96-106,0,0,4.37,1.09,0,192.34,1.09,1.09,13.11,0,0,0,0,1.09,3.28,0,0,99.45,0,1.09,1.09,0,2.19,0,0,0,2.19,0,1.09,0
108-118,0,0,3.83,0,0,148.6,0,0,9.19,1.53,0,0.77,0,0,3.06,0,1.53,98.81,1.53,0,1.53,0,0.77,0,0,0,0.77,0,0.77,0.77
120,0,1.96,3.92,1.96,1.96,111.71,0,0,3.92,0,0,0,0,0,1.96,1.96,0,123.47,0,0,1.96,0,0,0,0,0,3.92,0,1.96,0
