stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0
  5-6,6.13,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.43,0,0,0,0,0,0
  7-9,7.89,5.26,0,5.26,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,65.72,0,0,0,23.66,7.89,0,0,0,0,0,0
 10-12,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,56.65,3.15,0,0,12.59,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,16,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,4,0,1,1,0,2,0,0,0,0,0,0
 24-34,0,0,0.82,0.82,8.21,0.82,0,0,0,0,0,0.82,0,0,5.75,10.67,0,0.82,0,0,0,11.49,0,12.31,5.75,0,5.75,0.82,0.82,2.46,0,0,0
 36-46,0,0,0,0,5.64,0,0,0,0,0,0,0.81,0,0,1.61,9.67,0,0.81,0,0,0.81,17.72,0,5.64,0.81,0,7.25,0,0,4.83,0,0.81,0
 48-58,0,0,0,0.57,4.02,0,0,5.16,0,0,1.15,0.57,0.57,0,3.44,12.62,1.15,0.57,1.72,0.57,0,24.1,0,5.16,0,0,4.59,0,0,4.02,0,0,0
 60-70,0,0,0,0,4.91,0,0,1.96,0,0.98,0,0.98,0,0,4.91,19.63,0,0.98,1.96,0,0,9.82,0,7.85,2.94,0,1.96,0,0,0.98,0,0,0
 72-82,0,0,0.98,0,2.94,0.98,0,8.83,1.96,0,1.96,2.94,0,0,4.91,46.14,0,2.94,0,0,0,31.41,0,8.83,5.89,0,0.98,0,0,1.96,1.96,0,0
 84-94,1.06,0,1.06,0,7.43,0,0,5.31,3.19,0,2.12,10.62,0,0,4.25,77.53,0,3.19,1.06,0,0,12.74,0,39.3,4.25,0,15.93,1.06,0,0,6.37,0,1.06
 96-106,0,0,0,0,5.46,1.09,1.09,6.56,1.09,0,3.28,8.74,0,0,14.21,107.1,2.19,8.74,2.19,0,1.09,14.21,0,45.9,1.09,0,15.3,0,0,0,8.74,1.09,0
108-118,0,0,0.77,0.77,7.66,0.77,0.77,4.6,0.77,0,1.53,2.3,0,0,9.96,92.68,0.77,4.6,1.53,0,0,13.79,0,40.6,4.6,0,3.06,0,0,0,4.6,0.77,0
120,0,0,0,0,17.64,0,0,5.88,0,0,1.96,3.92,0,0,5.88,48.99,0,0,0,0,0,9.8,0,35.28,3.92,0,11.76,0,0,0,3.92,0,0
