stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,147.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.98,7.89,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,11,90,8,0,0,1,0,0,0,1,7,0,0,0,0,2,0,2,0,2,18,2,0,2,1,1,0,2,1,0,4,10,0,0,1,0,0
 24-34,0,0,9.03,41.04,1.64,0.82,0,1.64,0,0,0,0,3.28,0,0,0,0,15.6,0,1.64,0,0,20.52,0,0,0,0,0,0,0,0,0.82,0.82,5.75,0,0,0.82,0,0
 36-46,0,0,8.06,7.25,2.42,0,0,3.22,0,0,0.81,0.81,12.89,0,0,0,0,7.25,0,2.42,0.81,0.81,21.75,0.81,0,0.81,0,1.61,0,0,0,0,0,5.64,0,0,0,0,0.81
 48-58,0,0,6.89,3.44,0.57,0,0,6.89,0,0,0,4.59,20.08,0,0.57,0,0,5.74,0,3.44,0.57,1.15,28.12,0,0.57,0.57,0,0.57,0,0,0,0,0,6.31,0,0,0.57,0,0
 60-70,0.98,0,4.91,0,0.98,0,0,4.91,0,0,0,1.96,39.26,0,0,0,0,10.8,0,2.94,0,0,18.65,0,0,0,0,0,0,0.98,0,0,0,0.98,0,0,0,0.98,0
 72-82,0,0,21.6,1.96,1.96,1.96,1.96,7.85,0,0.98,0,3.93,66.75,0,0,0,0,2.94,0,6.87,1.96,0,19.63,0,0.98,0,0,1.96,0,0,0,0,0,1.96,0,0,0.98,0,0
 84-94,0,0,27.61,4.25,0,1.06,4.25,9.56,0,1.06,0,1.06,181.61,2.12,0,0,1.06,6.37,0,3.19,0,0,33.99,0,0,2.12,0,3.19,0,0,1.06,0,0,1.06,0,0,0,0,0
 96-106,0,0,30.6,8.74,1.09,2.19,6.56,5.46,0,1.09,0,3.28,173.76,2.19,1.09,0,0,2.19,0,5.46,0,1.09,53.55,1.09,0,1.09,0,2.19,1.09,0,0,0,0,0,1.09,2.19,0,4.37,1.09
108-118,0,0,28.34,9.19,0.77,3.06,3.06,2.3,0.77,0.77,0,1.53,147.83,0.77,0,0.77,0,10.72,0.77,3.83,0,2.3,47.49,0,0,0,0,0.77,0,0,0.77,0,0,0,1.53,0,0.77,1.53,0.77
120,0,0,9.8,1.96,0,1.96,0,9.8,0,0,0,1.96,86.23,1.96,1.96,0,0,7.84,1.96,7.84,0,1.96,48.99,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,1.96,0
