stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,9.44,0,0,6.29,0,0,0,0
 14-21,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,9,1,0,0,3,0,2,5,2,0
 24-34,0,0,0.82,0.82,0,0,0,0.82,0,0,0,0.82,0,0.82,0,4.1,2.46,4.93,0.82,0,0,0,0,0,0.82,0.82,0
 36-46,0,0,1.61,0,0,0,0,1.61,0,0,0,0,0,0,0,3.22,0,8.86,0,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,3.44,0,0,1.15,0,0,0,0,0,0,0,1.72,0,5.16,0.57,0,0,0,0,0,1.72,0,0
 60-70,0,0,0.98,0,0.98,0,0,0,0,0,0.98,0,0,0,0,3.93,0.98,2.94,0,0,0.98,0,0,0,0,0.98,0.98
 72-82,0,0,1.96,0,5.89,0.98,0,1.96,0.98,0,1.96,0,0,0,0,2.94,0,3.93,0.98,0,0,0,0,0,0,0.98,0
 84-94,0,0,1.06,1.06,0,0,0,1.06,1.06,0,0,1.06,0,0,0,4.25,1.06,2.12,0,0,3.19,0,0,0,1.06,1.06,0
 96-106,0,1.09,1.09,1.09,0,1.09,1.09,2.19,0,1.09,0,0,0,0,1.09,3.28,0,2.19,0,0,1.09,0,0,0,0,1.09,0
108-118,0,0,3.06,0,1.53,0,0,0,0,0,0.77,0,0,0,0,0.77,0,3.83,0,0,0.77,0,0,0,0,0,0
120,0,0,1.96,0,3.92,0,0,1.96,1.96,0,0,0,1.96,0,0,0,0,7.84,0,0,0,0,0,0,0,0,0
