stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,3.15,0,0,59.79,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,1,6,5,7,0,0,0,1,1,0,1,0,0,3,14,36,0,0,28,105,11,0,1,6,0,0,10,0,1,14,35,0,0,6,0,3
 24-34,0,2.46,0,3.28,3.28,24.63,0,0,2.46,4.93,0,0,3.28,0.82,0.82,3.28,17.24,73.06,0,0.82,47.61,221.63,0,0.82,0,0,0.82,1.64,0.82,0,0.82,1.64,44.33,0,0,36.94,0,3.28
 36-46,0,0.81,0,1.61,0.81,31.42,0,0,5.64,31.42,0,0,1.61,0,0,0.81,4.83,85.4,0.81,2.42,36.26,186.92,0.81,1.61,0,0,0.81,2.42,0,0,0.81,0,60.43,0,0,22.56,0,7.25
 48-58,0,0,0,2.3,0,45.9,0,0,6.31,57.38,0,1.15,2.3,0,0.57,0,5.16,61.97,0,4.02,10.33,90.09,0.57,1.15,0,0,0,0.57,0,0,0,0,53.36,0,0,16.07,0.57,8.03
 60-70,0,0,0,1.96,0,77.54,0,0,0.98,117.78,0,0,5.89,0,0,0,3.93,86.37,0,11.78,13.74,84.41,0,0,0.98,0,0,0,0,0,0,0,37.3,0,2.94,21.59,3.93,5.89
 72-82,0,0,0,3.93,0,83.44,0,0,6.87,146.27,0,0.98,2.94,0,3.93,0.98,1.96,122.71,0.98,9.82,5.89,89.33,0,0,1.96,0,1.96,1.96,0,0,0,0,25.52,1.96,1.96,33.38,6.87,8.83
 84-94,0,3.19,0,2.12,0,58.41,1.06,0,5.31,90.27,0,0,2.12,1.06,3.19,4.25,5.31,64.78,0,3.19,7.43,47.79,0,1.06,1.06,0,0,2.12,0,0,0,0,11.68,3.19,2.12,30.8,2.12,5.31
 96-106,0,0,0,3.28,0,54.64,0,0,3.28,80.87,0,0,0,6.56,2.19,3.28,4.37,68.85,0,9.84,6.56,62.29,0,0,1.09,0,1.09,1.09,0,1.09,0,0,21.86,2.19,2.19,29.51,3.28,6.56
108-118,0,1.53,0,1.53,0,26.04,0,0,2.3,65.87,0,0,1.53,3.06,13.02,3.83,5.36,55.92,0,0.77,8.43,60.51,0,3.06,1.53,0,1.53,1.53,0,0,0,0,10.72,3.06,0.77,32.94,1.53,14.55
120,0,0,0,5.88,0,37.24,0,1.96,0,58.79,1.96,0,0,11.76,5.88,1.96,1.96,54.87,0,5.88,7.84,72.51,1.96,0,0,0,1.96,0,0,0,0,0,9.8,1.96,0,19.6,1.96,1.96
